Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja,Notification,Notification_zh-Hant,Notification_en,Notification_ja
25,嘴上说要尊重我的权力，但你刚才还想捅死我来着？,嘴上說要尊重我的權力，但你剛才還想捅死我來著？,"You talk about respecting my rights, but weren’t you just about to stab me?",権利だの何だのって口では言いながら、さっき私を刺し殺そうとしてなかった？,,,,,,,,,,,,
26,那是紧急情况采取的特殊措施啦……！而且你看，我也没有真捅你不是吗……？,那是緊急情況采取的特殊措施啦……！而且你看，我也沒有真捅你不是嗎……？,"That was a special emergency measure...! And look, I didn’t actually stab you, did I...?",あれは緊急時の特別措置よ……！それにほら、実際に刺したりはしなかったじゃない……？,,,,,,,,,,,,
27,这辩解实在是苍白无力。阿米莉娅相信，如果自己睁眼晚一些，腹部真的会多一个大口子。但是也没办法为还没付诸行动的口嗨行为定罪事到如今，还有更重要的事情要决定。,這辯解實在是蒼白無力。阿米莉娅相信，如果自己睜眼晚一些，腹部真的會多一個大口子。但是也沒辦法為還沒付諸行動的口嗨行為定罪事到如今，還有更重要的事情要決定。,"The excuse was feeble. Amelia was sure that if she had woken up even a moment later, there really would have been a big hole in her stomach. Still, you can’t convict someone for words before they act. Right now, there were more important decisions to make.",あまりにも苦しい言い訳だ。もし目を覚ますのがあと少し遅れていたら、間違いなくお腹に風穴が開いていたとアメリアは確信している。だが、実行に移されていない口先だけの行為を罪に問うことはできない。それに今は、もっと重要な決断を下さなければならない。,,,,,,,,,,,,
28,没有引用法律条文，没有用工单位，用语十分随意，规定也模糊不清，看起来相当草率的一份合同。如果拿给律师看，一定能把他们的低血压治好。拟定合同的人似乎完全不在意这份合同的可执行性。,沒有引用法律條文，沒有用工單位，用語十分隨意，規定也模糊不清，看起來相當草率的一份合同。如果拿給律師看，一定能把他們的低血壓治好。擬定合同的人似乎完全不在意這份合同的可執行性。,"No legal citations, no employer info, very casual wording, and vague terms—it looked like a slapdash contract. Any lawyer who saw it would have their low blood pressure cured. The person who wrote it didn’t seem to care whether it was enforceable at all.",法律の引用もなく、雇用主の記載もなく、言葉遣いも適当で条件も曖昧。どう見てもずさんな契約書だ。弁護士に見せれば、まず血圧が急上昇するだろう。作成者はこの契約に法的効力があるかどうかなんて、これっぽっちも気にしていないようだ。,casual wording,用語隨意,casual wording,くだけた言葉遣い,,,,,,,,
29,克莉斯娜用期待的眼神看着你。,克莉斯娜用期待的眼神看著你。,Krisna looked at you with expectant eyes.,クリスナが期待に満ちた目でこちらを見つめている。,我想详细了解一下合同的细节,我想詳細了解一下合同的細節,I’d like to know more about the contract details.,契約の内容についてもう少し詳しく聞きたい,做出决定,做出決定,Make my decision.,決断を下す,,,,
281,请选择想了解的内容。,請選擇想了解的內容。,Please choose what you’d like to know.,何が知りたい？,需要我做什么,需要我做什么,What would you need me to do?,私は何をすればいい？,其他问题,其他問題,Other questions,他の質問,,,,
282,请选择想了解的内容。,請選擇想了解的內容。,Please choose what you’d like to know.,何が知りたい？,我会遇到什么,我會遇到什么,What will I face?,私にどんな困難が待ち受けてるの？,更多,更多,More,もっと詳しく,,,,
283,请选择想了解的内容。,請選擇想了解的內容。,Please choose what you’d like to know.,何が知りたい？,为什么是我？,為什么是我？,Why me?,どうして私なの？,这么做的意义是什么？,這么做的意義是什么？,What’s the point of this?,こんなことする意味は？,,,,
284,那么，你的决定是？,那么，你的決定是？,"So, what’s your decision?",それで、あなたの決断は？,愿我们合作愉快,愿我們合作愉快,Let’s work well together,よろしく頼むわ,我拒绝,我拒絕,I refuse.,断る,,,,
291,很简单~隶属在我司旗下的7号深渊坑，名为奥尔德林的世界腐化掉了，我需要阿米莉娅帮我去做一些除虫工作。,很簡單~隸屬在我司旗下的7號深淵坑，名為奧爾德林的世界腐化掉了，我需要阿米莉娅幫我去做一些除蟲工作。,"Simple~ A world called Aldrin, which is under our company’s Abyssal Pit #7, has rotted away. I need Amelia to help me do some pest control there.",簡単よ～うちの会社が管轄してる7番目のアビスピット、「オルドリン」っていう世界が腐っちゃったから、アメリアちゃんにちょっとした害虫駆除をお願いしたいの。,,,,,,,,,,,,
30,更具体的说，我们目前还不清楚坏死的是哪一块组织，所以需要你尽可能深入的调查那里，越深越好。,更具體的說，我們目前還不清楚壞死的是哪一塊組織，所以需要你盡可能深入的調查那里，越深越好。,"More specifically, we still don’t know which part of the tissue is necrotic, so I need you to investigate as deep as you can—the deeper, the better.",もっと具体的に言うと、どの組織が壊死してるのかまだ判明してないの。だから、できるだけ深くまで調査してほしいわ。深ければ深いほどいいわよ。,,,,,,,,,,,,
31,一些诡异的事件，一些不合常理的人，也许还有几个长相奇特的生物，以及一大堆希望阿米莉娅酱去死的恶意~,一些詭異的事件，一些不合常理的人，也許還有幾個長相奇特的生物，以及一大堆希望阿米莉娅醬去死的惡意~,"Some bizarre incidents, some unreasonable people, maybe a few oddly shaped creatures, and a whole lot of ill will wanting Amelia-chan dead~",奇妙な事件とか、理不尽な人間とか、ちょっと見た目の変わった生き物、あとはアメリアちゃんの死を心から願うたっぷりの悪意が待ち受けてるわ～,,,,,,,,,,,,
32,啊，不过请别担心，使用暴力是被允许的。,啊，不過請別擔心，使用暴力是被允許的。,"Ah, but don’t worry—using violence is allowed.",あ、でも安心して。暴力行使は許可されてるから。,,,,,,,,,,,,
33,你的意思是……让我去杀人？,你的意思是……讓我去殺人？,You’re saying... you want me to kill people?,それって……私に人殺しをしろってこと？,,,,,,,,,,,,
34,这就要看阿米莉娅酱的判断了，暴力是可能的选择，但不是唯一的手段。但有些忠告是站在我的立场不得不说的，如果对她们太过仁慈，反而可能会吃亏哦？,這就要看阿米莉娅醬的判斷了，暴力是可能的選擇，但不是唯一的手段。但有些忠告是站在我的立場不得不說的，如果對她們太過仁慈，反而可能會吃虧哦？,"That’s for Amelia-chan to judge. Violence is an option, but not the only means. Still, I have to give you some advice from my position: if you’re too merciful to them, you might end up the one getting hurt~",それはアメリアちゃんの判断次第ね。暴力は有効な選択肢だけど、唯一の手段じゃないわ。ただ、私の立場から一つ忠告しておくけど……相手に情けをかけすぎると、痛い目を見るわよ？,,,,,,,,,,,,
35,"每个魔女都有自己的权能，而阿米莉娅的权能是最适合这种工作的，所谓""原初魔女""，指的便是原点，璞玉一样的存在，你可以被塑造成任意的样子。","每個魔女都有自己的權能，而阿米莉娅的權能是最適合這種工作的，所謂""原初魔女""，指的便是原點，璞玉一樣的存在，你可以被塑造成任意的樣子。","Every witch has her own authority, and Amelia’s authority is the best fit for this kind of work. The “Primordial Witch” means the origin—a blank slate that can be shaped into anything.",魔女にはそれぞれ権能があるんだけど、アメリアちゃんの権能はこの仕事に一番向いてるの。「原初の魔女」とは原点であり、原石のような存在。あなたはどんな姿にだって形を変えられる。,,,,,,,,,,,,
36,变形……？,變形……？,Shapeshifting...?,変身……？,,,,,,,,,,,,
37,要比那厉害多了，只要对对方足够了解并得到认可，你就可以占据她的存在。无论是名字，身体，记忆还是历史，所~有~的一切，都会成为阿米莉娅的一部分。可以说是开挂一样的间谍技能呢。,要比那厲害多了，只要對對方足夠了解并得到認可，你就可以占據她的存在。無論是名字，身體，記憶還是歷史，所~有~的一切，都會成為阿米莉娅的一部分。可以說是開掛一樣的間諜技能呢。,"Way better than that. Once you understand someone well enough and earn their recognition, you can take over their existence. Their name, body, memories, history—abso~lute~ly everything becomes part of Amelia. It’s like a cheating spy skill.",それよりずっとすごいわ。相手を深く理解して認められれば、その存在そのものを乗っ取ることができるの。名前、身体、記憶、歴史、そのすべてがアメリアちゃんの一部になる。チート級のスパイ能力ってわけ。,,,,,,,,,,,,
38,包含记忆的话，是谁占据了谁就不好说了吧。,包含記憶的話，是誰占據了誰就不好說了吧。,"If memories are included, it’s hard to say who’s taking over whom, isn’t it?",記憶まで含めたら、どっちがどっちを乗っ取ったのか分からなくなりそうだけど。,,,,,,,,,,,,
39,？意义？,？意義？,...Meaning?,？意味？,,,,,,,,,,,,
40,克莉斯娜歪了歪头，似乎阿米莉娅的疑问让她难以理解。,克莉斯娜歪了歪頭，似乎阿米莉娅的疑問讓她難以理解。,"Krisna tilted her head, as if Amelia’s question was hard for her to understand.",クリスナは首を傾げた。アメリアの疑問が本気で理解できないらしい。,,,,,,,,,,,,
41,刀被制作出来就是要切开东西的，有机生物需要进食，无机机械需要充电，作为魔女，毁灭本身即是意义。,刀被製作出來就是要切開東西的，有機生物需要進食，無機機械需要充電，作為魔女，毀滅本身即是意義。,"A blade is made to cut. Living things need to eat, machines need to charge. As a witch, destruction itself is the meaning.",刃物は物を切るために作られる。有機生物は食事が必要だし、無機機械には充電が必要でしょ。魔女にとって、破壊こそが「意味」なの。,,,,,,,,,,,,
42,…………,…………,............,…………,,,,,,,,,,,,
43,听你说了这么久我总算明白了一件事。,聽你說了這么久我總算明白了一件事。,"After listening to you for so long, I finally understand one thing.",長々と話を聞いて、一つだけ確信したことがあるわ。,,,,,,,,,,,,
44,就是我们好像是一家以刺探别人情报和搞坏别人家庭关系为核心业务的邪恶公司。,就是我們好像是一家以刺探別人情報和搞壞別人家庭關系為核心業務的邪惡公司。,That we seem to be an evil company whose core business is spying on people and wrecking their family relationships.,うちの会社って、他人の情報を嗅ぎ回って家庭をぶち壊すのを本業にしてる悪の組織みたいね。,,,,,,,,,,,,
45,请容我拒绝。,請容我拒絕。,I’ll have to refuse.,お断りさせていただきます。,,,,,,,,,,,,
46,啊哈哈……虽然你说的某种程度上也是事实，但是真希望阿米莉娅酱可以更委婉一些呢……,啊哈哈……雖然你說的某種程度上也是事實，但是真希望阿米莉娅醬可以更委婉一些呢……,"Ahaha... What you said is kind of true, but I really wish you’d put it more gently, Amelia-chan~",あはは……ある意味事実だから否定しづらいけど、アメリアちゃんにはもう少しオブラートに包んでほしかったわ……,,,,,,,,,,,,
47,那么，我会在这里一直等待，直到阿米莉娅酱回心转意。,那么，我會在這里一直等待，直到阿米莉娅醬回心轉意。,Then I’ll wait here until you change your mind， Amelia.,それじゃあ、アメリアちゃんの気が変わるまでここでずっと待ってるわ。,,,,,,,,,,,,
48,再见啦~,再見啦~,See you~,じゃあね～,,,,,,,,,,,,
49,好耶！最喜欢你了！！阿米莉娅酱~,好耶！最喜歡你了！！阿米莉娅醬~,Yay! I love you!! Amelia-chan~,やったー！大好きよ！！アメリアちゃん～,,,,,,,,,,,,
50,那么事不宜迟，为了让阿米莉娅酱尽快的熟悉工作，我们先开始入职培训吧~,那么事不宜遲，為了讓阿米莉娅醬盡快的熟悉工作，我們先開始入职培训吧~,"Then without further ado, to help Amelia get familiar with the job, let’s start your Beginner Tutorial~",さっそく、アメリアちゃんがお仕事に早く慣れるように、初心者向けチュートリアルから始めましょうか～,,,,,,,,,,,,
51,"克莉斯娜打了个响指，魔女屋的一面墙壁""咯吱""一声，露出了一个看起来非常老旧的，只有一扇门的金属电梯，上面还贴着一张手写的""新手村专线""标签。","克莉斯娜打了個響指，魔女屋的一面墻壁""咯吱""一聲，露出了一個看起來非常老舊的，只有一扇門的金屬電梯，上面還貼著一張手寫的""新手村專線""標簽。","Krisna snapped her fingers. With a creak, a wall of the Witch's House opened to reveal a rusty metal elevator with just one door, and a handwritten Starter Village Line label stuck on it.",クリスナが指を鳴らすと、魔女屋の壁が「ギィィ」と軋む音を立て、古びた金属製のエレベーターが姿を現した。その扉には手書きで「始まりの村へ」というラベルが貼られている。,,,,,,,,,,,,
52,"看，专为阿米莉娅酱准备的""新手村电梯""哦~里面只有一个教程关卡，帮你找回长眠中丢掉的手感。","看，專為阿米莉娅醬準備的""新手村電梯""哦~里面只有一個教程關卡，幫你找回長眠中丟掉的手感。",See? A “Starter Village Elevator” just for Amelia-chan~ Inside there’s just a tutorial stage to help you regain the feel you lost during your long sleep.,ほら、アメリアちゃん専用の「初心者村エレベーター」よ～中にはチュートリアルステージが一つだけ用意されてて、長い眠りで鈍った感覚を取り戻す手助けをしてくれるわ。,,,,,,,,,,,,
53,教程关？我怎么感觉更像是黑心企业强制员工参加的周末团建活动……,教程關？我怎么感覺更像是黑心企業強制員工參加的周末團建活動……,Tutorial? Feels more like a black company forcing employees to attend a weekend team-building event...,チュートリアル？どう見てもブラック企業が休日に強制参加させる社員研修にしか思えないんだけど……,,,,,,,,,,,,
54,"阿米莉娅的表情写满了""拒绝上班""四个大字。","阿米莉娅的表情寫滿了""拒絕上班""四個大字。",Amelia’s face spelled I refuse to work in big letters.,アメリアの顔には「出勤拒否」という4文字がありありと浮かんでいた。,,,,,,,,,,,,
55,"哎呀，这说的哪里话！培训是福利！下面有很多可爱的""普拉提""，可以带回来当甜点哦~更何况，毕竟是【第一次】嘛，我会陪着阿米莉娅走一趟的~","哎呀，這說的哪里話！培訓是福利！下面有很多可愛的""普拉提""，可以帶回來當甜點哦~更何況，畢竟是【第一次】嘛，我會陪著阿米莉娅走一趟的~","Oh, what are you saying! Training is a benefit! There are lots of cute “Platies” down there you can bring back as dessert~ Besides, since it’s your [First Time], I’ll go with you， Amelia~",あら、何言ってるの！研修は福利厚生よ！下には可愛い「プラティ」がたくさんいて、おやつにお持ち帰りしてもいいのよ～それに、なんてったって「初めて」なんだから、私も一緒についていってあげるわ～,,,,,,,,,,,,
56,除了进入电梯，似乎也别无选择了。,除了進入電梯，似乎也別無選擇了。,There seemed to be no choice but to enter the elevator.,エレベーターに乗る以外、選択肢はないようだ。,,,,,,,,,,,,
