Id,Name,Description,Name_zh-Hant,Name_en,Name_ja,Description_zh-Hant,Description_en,Description_ja
die_by_alchemy,贪婪之罪,因“诅咒炼金”而死,貪婪之罪,Sin of Greed,強欲の罪,因“詛咒煉金”而死,"Die from ""Cursed Alchemy"".",「呪いの錬金術」が原因で死亡する
die_by_contract,斩杀契约,因带有“死契”名称的契约遗物而死,斬殺契約,Execution Contract,斬殺契約,因帶有“死契”名稱的契約遺物而死,"Die from a contract Relic with ""Death Pact"" in its name.",名前に「死契」を含む契約遺物が原因で死亡する
hp_1000_before_12,暴食,在12层之前，血量大于1000,暴食,Gluttony,暴食,在12層之前，血量大於1000,Have more than 1000 Health before Layer 12.,12層に到達する前にHPを1000以上にする
nana_devour_teammate,饥饿,使用奈奈的“可使用厄运”吞噬一名队友,饑餓,Hunger,飢餓,使用奈奈的“可使用厄運”吞噬一名隊友,"Use Nana's ""usable misfortune"" to devour a teammate.",ナナの「使用可能な厄運」で味方を1人喰らう
clean_shot,所有，或一无所有,在左轮事件中连开5枪不受伤,所有，或一無所有,All or Nothing,すべてか、無か,在左輪事件中連開5槍不受傷,Fire 5 consecutive shots in the roulette event without taking damage.,リボルバーイベントで5発連続で撃ち、ダメージを受けない
adela_obsidian_legion,黑曜军团,使用“王族律令”一次性创造9张以上棋子牌,黑曜軍團,Obsidian Legion,黒曜軍団,使用“王族律令”一次性創造9張以上棋子牌,"Use ""Royal Decree"" to create 9 or more chess piece cards at once.",「王族律令」を使って一度に9枚以上の駒カードを作成する
third_tier_spell,超位魔法,使用一次三阶的进阶施法,超位魔法,High-Order Magic,超位魔法,使用一次三階的進階施法,Use a third-tier advanced spellcasting once.,3階の進階施法を1回使用する
resentment_99,致死恶意,怨念层数达到99层以上,致死惡意,Lethal Malice,致死の悪意,怨念層數達到99層以上,Reach 99 or more stacks of Resentment.,怨念を99スタック以上にする
resurrect_3,我归来……,在一局游戏内重生3次以上,我歸來……,I Return...,我、帰還せり……,在一局遊戲內重生3次以上,Resurrect 3 or more times in one run.,1回のプレイ中に3回以上復活する
extraordinary_9999,神化,超凡层数达到9999以上,神化,Deification,神格化,超凡層數達到9999以上,Reach 9999 or more stacks of Extraordinary.,超凡を9999スタック以上にする
statue_all,使徒,解锁所有局外成长,使徒,Apostle,使徒,解鎖所有局外成長,Unlock all out-of-run upgrades.,すべての局外成長を解放する
gold_1,魔女宝藏Ⅰ,同时拥有10000金币,魔女寶藏Ⅰ,Witch Treasure I,魔女の宝物Ⅰ,同時擁有10000金幣,Have 10000 Gold at the same time.,同時に10000ゴールドを持つ
