Id,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja,Tag1,Tag1_zh-Hant,Tag1_en,Tag1_ja,Tag2,Tag2_zh-Hant,Tag2_en,Tag2_ja,Tag3,Tag3_zh-Hant,Tag3_en,Tag3_ja,Tag4,Tag4_zh-Hant,Tag4_en,Tag4_ja
22,,匣上黑猫,黑貓,Black Cat on the Box,箱上の黒猫,解锁随从 匣上黑猫,解鎖隨從 匣上黑貓,Unlock companion Black Cat on the Box,従者 箱上の黒猫を解放する。,,,,,,,,,,,,,,,,
23,,使魔猫猫,使魔貓貓,Fluffy Armament,使い魔の猫,解锁随从 使魔猫猫,解鎖隨從 使魔貓貓,Unlock companion Fluffy Armament,従者 使い魔の猫を解放する。,,,,,,,,,,,,,,,,
24,,小克莉斯娜,小克莉斯娜,Little Krisna,小さなクリスナ,解锁随从 小克莉斯娜,解鎖隨從 小克莉斯娜,Unlock companion Little Krisna,従者 小さなクリスナを解放する。,,,,,,,,,,,,,,,,
25,,超位仪式,超位儀式,Supreme Ritual,超位儀式,解锁卡包超位仪式,解鎖卡包超位儀式,Unlock card pack Supreme Ritual,超位儀式カードパックを解放する。,,,,,,,,,,,,,,,,
26,,混沌乐团,混沌樂團,Chaos Ensemble,カオス楽団,解锁卡包混沌乐团,解鎖卡包混沌樂團,Unlock card pack Chaos Ensemble,カオス楽団カードパックを解放する。,,,,,,,,,,,,,,,,
27,,爱与梦魇的阶梯,愛與夢魘的階梯,Stairway of Love and Nightmare,愛と悪夢の階段,解锁卡包爱与梦魇的阶梯,解鎖卡包愛與夢魘的階梯,Unlock card pack Stairway of Love and Nightmare,愛と悪夢の階段カードパックを解放する。,,,,,,,,,,,,,,,,
28,,蛇自阴影中袭来,蛇自陰影中襲來,The Snake Comes from the Shadows,蛇は影より襲い来る,解锁卡包蛇自阴影中袭来,解鎖卡包蛇自陰影中襲來,Unlock card pack The Snake Comes from the Shadows,蛇は影より襲い来るカードパックを解放する。,,,,,,,,,,,,,,,,
*29,,飞升之路,飛升之路,Path of Ascension,飛昇の道,解锁卡包飞升之路,解鎖卡包飛升之路,Unlock card pack Path of Ascension,飛昇の道カードパックを解放する。,,,,,,,,,,,,,,,,
30,,黑色巫术,黑色巫術,Black Sorcery,黒き巫術,解锁卡包黑色巫术,解鎖卡包黑色巫術,Unlock card pack Black Sorcery,黒き巫術カードパックを解放する。,,,,,,,,,,,,,,,,
31,,法术序列,法術序列,Spell Sequence,魔術シーケンス,解锁卡包法术序列,解鎖卡包法術序列,Unlock card pack Spell Sequence,魔術シーケンスカードパックを解放する。,,,,,,,,,,,,,,,,
32,,时空奇旅,時空奇旅,Chrono Adventure,時空奇旅,解锁卡包时空奇旅,解鎖卡包時空奇旅,Unlock card pack Chrono Adventure,時空奇旅カードパックを解放する。,,,,,,,,,,,,,,,,
33,,神话之路,神話之路,The Road of Myth,神話の道,在难度选择中，获取更多挑战选项,在難度選擇中，獲取更多挑戰選項,"In Difficulty Selection, get more challenge options",難易度選択で、より多くのチャレンジオプションを入手,,,,,,,,,,,,,,,,
