Id,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja,Tips,Tips_zh-Hant,Tips_en,Tips_ja
*16,深渊生存法则,半透明魔法使,半透明魔法使,Translucent Mage,半透明の魔法使い,获得时立即恢复10点HP，战斗开始时获得3层自愈；仅限一次：受到致命伤害时保留1点HP,獲得時立即恢復10點HP，戰鬥開始時獲得3層{buff_evergreen}；僅限一次：受到致命傷害時保留1點HP。,"On gain, immediately restore 10 HP. At combat start, gain 3 stacks of {buff_evergreen}. Once only: when taking fatal damage, remain at 1 HP.",獲得時、ただちにHPを10回復する。戦闘開始時、{buff_evergreen}を3スタック獲得する。1回のみ：致命ダメージを受けた時、HPを1残す。,,,,
*17,高阶魔法基础·必修一,返始咏叹调,返始詠嘆調,Origin Aria,始まりへ返るアリア,回合内第一次将魔能消耗至0时，抽3张牌，恢复等同于这三张牌消耗魔能数的魔能,回合內第一次將魔能消耗至0時，抽3張牌，恢復等同於這三張牌消耗魔能數的魔能。,"The first time each turn you spend your Mana down to 0, draw 3 cards and restore Mana equal to the total Mana cost of those three cards.",各ターンで初めてマナを0まで消費した時、カードを3枚引き、その3枚のマナコスト合計に等しいマナを回復する。,,,,
*18,高阶魔法基础·必修一,炼金术师,煉金術師,Alchemist,錬金術師,每回合额外获得一点魔能,每回合額外獲得1點魔能。,Gain 1 additional Mana each turn.,毎ターン、追加でマナを1獲得する。,,,,
*19,高阶魔法基础·必修一,北极星,北極星,Polaris,北極星,获得该祝福时，将非本源的属性转移至本源属性，直至非本源属性为零或者本源属性达到上限为止（优先主本源）,獲得該祝福時，將非本源的屬性轉移至本源屬性，直至非本源屬性為零或者本源屬性達到上限為止（優先主本源）。,"When you gain this Blessing, transfer non-Source attributes into Source attributes until non-Source attributes reach 0 or Source attributes reach their cap (prioritizes the primary Source).",この祝福を獲得した時、非本源属性を本源属性へ移す。非本源属性が0になるか、本源属性が上限に達するまで続く（主本源を優先）。,,,,
*20,高阶魔法基础·必修一,亡灵的悲悯,亡靈的悲憫,Undead's Mercy,亡霊の慈悲,所有敌人每累计受到100点物理伤害增加一点魔力本源；自身每累计消耗20点能量增加一点精神本源；每个本源最多提高10点。,所有敵人每累計受到100點物理傷害，增加1點魔力本源；自身每累計消耗20點魔能，增加1點精神本源；每個本源最多提高10點。,"For all enemies, every cumulative 100 physical damage taken increases Magic Source by 1. For yourself, every cumulative 20 Mana spent increases Spirit Source by 1. Each Source can increase by up to 10.",全ての敵は累計100の物理ダメージを受けるたび、魔力本源+1。自身は累計20マナを消費するたび、精神本源+1。各本源は最大10まで上昇する。,,,,
21,混沌乐团,玫瑰,玫瑰,Rose,薔薇,前三回合魔能上限加一，之后取消并变为每回合给自己提供一层流血,前三回合魔能上限+1，之後取消並變為每回合給自己提供1層{buff_bleeding}。,"For the first 3 turns, Mana limit +1. Afterward, this is canceled and becomes: gain 1 stack of {buff_bleeding} each turn.",最初の3ターン、マナ上限+1。その後この効果は解除され、毎ターン自身に{buff_bleeding}を1スタック付与する効果に変わる。,,,,
22,混沌乐团,无名之爱,無名之愛,Nameless Love,名もなき愛,幸运属性+3；回合结束时，恢复1%已损生命,幸運屬性+3；回合結束時，恢復1%已損生命。,"Luck +3. At turn end, restore 1% of lost Health.",幸運属性+3。ターン終了時、失ったHPの1%を回復する。,,,,
24,爱与梦魇的阶梯,冷烛,冷燭,Cold Candle,冷たい蝋燭,战斗开始时，对所有敌人缠怨1。,戰鬥開始時，對所有敵人纏怨1次。,"At combat start, apply 1 {buff_resentment} to all enemies.",戦闘開始時、全ての敵に「纏怨」を1回行う。,记忆魔女的烛台，法薇尔战斗时的哀嚎声持续不断的从中渗出：对于有些人是惩罚，对于她的主人来说则是种享受,記憶魔女的燭臺，法薇爾戰鬥時的哀嚎聲持續不斷的從中滲出：對於有些人是懲罰，對於她的主人來說則是種享受,"The memory witch's candlestick. Farevell's wails during battle keep seeping from it: punishment to some, but a pleasure to its owner.",記憶の魔女の燭台。法薇爾が戦う時の嘆き声が絶えず滲み出している。ある者には罰であり、その持ち主には享楽である。
*26,爱与梦魇的阶梯,自我的果实,自我的果實,Ego Fruit,自我の果実,你每给予5次负面状态时，所有魔女获得1点最大生命值，每场战斗最多10次。,你每給予5次負面狀態時，所有魔女獲得1點最大生命值，每場戰鬥最多10次。,"For every 5 times you apply negative statuses, all witches gain 1 Max Health. Up to 10 times per battle.",あなたが負面状態を5回付与するたび、全ての魔女が最大HP+1を得る。戦闘ごとに最大10回まで。,,,,
27,法术序列,丽姬娅,麗姬婭,Ligeia,リジーア,每33层复还，会使得你的回合开始抽牌数+1,每33層復還，會使你的回合開始抽牌數+1。,"For every 33 stacks of {buff_ReturnAgain}, increase the number of cards you draw at the start of your turn by 1.",復還33スタックごとに、あなたのターン開始時のドロー枚数+1。,那乌黑的目光热切的眼睛属于丽姬娅。,那烏黑的目光熱切的眼睛屬於麗姬婭。,"Those black, fervent eyes belong to Ligeia.",その黒く熱を帯びた瞳はリジーアのものだ。
28,混沌乐团,莫雷娜,莫雷娜,Morena,モレーナ,战斗开始时，复还+10,戰鬥開始時，復還+10。,"At combat start, gain 10 {buff_ReturnAgain}.",戦闘開始時、復還+10。,墓窟里压根没有第一个莫雷娜的痕迹。,墓窟里壓根沒有第一個莫雷娜的痕跡。,There is no trace of the first Morena anywhere in the crypt.,墓窟には、最初のモレーナの痕跡などどこにもない。
29,,战争骑士,戰爭騎士,Knight of War,戦争の騎士,战斗开始时，魔能+1,戰鬥開始時，魔能+1。,"At combat start, gain 1 Mana.",戦闘開始時、マナ+1。,,,,
30,,魔法骑士,魔法騎士,Magic Knight,魔法騎士,四大本源+1,四大本源+1。,All four Origin attributes +1.,四大本源+1。,,,,
