Id,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja,Tips,Tips_zh-Hant,Tips_en,Tips_ja
14,"精神,充能",命运之轮,命運之輪,Wheel of Fate,運命の輪,战斗开始时获得1层循环,戰鬥開始時獲得1層{buff_cycle},"At combat start, gain 1 stack of {buff_cycle}",戦闘開始時に{buff_cycle}を1スタック獲得する,,,,
15,"输出,生命",士官,士官,Sergeant,士官,战斗开始时你获得1层锋锐,戰鬥開始時你獲得1層{buff_keenedge},"At combat start, gain 1 stack of {buff_keenedge}",戦闘開始時に{buff_keenedge}を1スタック獲得する,,,,
19,高级,主教,主教,Bishop,司教,战斗开始时你获得4层元素,戰鬥開始時你獲得4層{buff_elements},"At combat start, gain 4 stacks of {buff_elements}",戦闘開始時に{buff_elements}を4スタック獲得する,,,,
20,"输出,负面",萨满,薩滿,Shaman,シャーマン,战斗开始时随机赋予敌人1层易伤,戰鬥開始時隨機賦予敵人1層{buff_vulnerability},"At combat start, inflict 1 stack of {buff_vulnerability} on a random enemy",戦闘開始時、ランダムな敵1体に{buff_vulnerability}を1スタック付与する,,,,
21,通用,国王,國王,King,国王,获得40金币,獲得40金幣,Gain 40 Gold,40ゴールドを獲得する,,,,
22,通用,教皇,教宗,Pope,教皇,你获得的金币额外增加10%,你獲得的金幣額外增加10%,Gold gained +10%,獲得するゴールドが10%増加する,,,,
23,高级,审判,審判,Judgement,審判,战斗开始时获得1层狂暴,戰鬥開始時獲得1層{buff_frenzy},"At combat start, gain 1 stack of {buff_frenzy}",戦闘開始時に{buff_frenzy}を1スタック獲得する,,,,
24,高级,血鬼,血鬼,Blood Demon,血鬼,战斗开始时你获得鬼化,戰鬥開始時你獲得{buff_oniblood},"At combat start, gain {buff_oniblood}",戦闘開始時に{buff_oniblood}を1スタック獲得する,,,,
*101,魔力,猜忌之口,超凡之始-力,Suspicion's Maw,超越の始まり-力,"魔力大于等于10时,战斗开始时第一次伤害+6","魔力大於等於10時,戰鬥開始時第一次傷害+6","If Magic ≥ 10, the first damage you deal at combat start is increased by 6",魔力が10以上の場合、戦闘開始時の最初のダメージ+6,魔力开始在你指尖涌动。,魔力開始在你指尖涌動。,Magic begins to flow from your fingertips.,魔力が指先から溢れ始める。
*102,幸运,占卜词句,占卜詞句,Divination Words,占いの言葉,"幸运大于等于10时,战斗开始时额外抽1张牌","幸運大於等於10時,戰鬥開始時額外抽1張牌","If Luck ≥ 10, draw 1 extra card at combat start",幸運が10以上の場合、戦闘開始時に追加でカードを1枚引く,你是人们口中的“幸运儿”。,你是人們口中的“幸運兒”。,"You are known as ""the lucky one.""",あなたは人々が言うところの「幸運の持ち主」だ。
*103,精神,思考者,思考者,Thinker,思考者,"精神大于等于10时,战斗开始时额外获得1点魔能","精神大於等於10時,戰鬥開始時額外獲得1點魔能","If Spirit ≥ 10, gain 1 Mana at combat start",精神が10以上の場合、戦闘開始時に追加でマナを1獲得する,你的学识贯通古今。,你的學識貫通古今。,Your knowledge spans the ages.,あなたの学識は古今を貫く。
*104,感知,纽带村落,紐帶村落,Nexus Village,絆の村落,"感知大于等于10时,战斗开始时获得6点防御","感知大於等於10時,戰鬥開始時獲得6點防禦","If Perception ≥ 10, gain 6 Defense at combat start",感知が10以上の場合、戦闘開始時に防御を6獲得する,你的感官异常敏锐。,你的感官異常敏銳。,Your senses are exceptionally sharp.,あなたの感覚は異常に鋭い。
*105,魔力,恐惧之眼,恐懼之眼,Eye of Fear,恐怖の眼,"魔力大于等于20时,战斗开始时获得3层锋锐","魔力大於等於20時,戰鬥開始時獲得3層{buff_keenedge}","If Magic ≥ 20, gain 3 stacks of {buff_keenedge} at combat start",魔力が20以上の場合、戦闘開始時に{buff_keenedge}を3スタック獲得する,你的魔力水平异常之高，经常将照明施成火球术的效果。,你的魔力水平異常之高，經常將照明施成火球術的效果。,Your magic is so powerful that you often cast fireballs for light.,あなたの魔力は異常に高く、照明魔法がしばしば火球術の効果を発揮する。
*106,幸运,交易辞令,交易辭令,Trade Rhetoric,取引辞令,"幸运大于等于20时,战斗开始时额外获得45点金币","幸運大於等於20時,戰鬥開始時額外獲得45點金幣","If Luck ≥ 20, gain 45 Gold at combat start",幸運が20以上の場合、戦闘開始時に追加で45ゴールドを獲得する,你总是创造着奇迹，幸运女神格外垂青。,你總是創造著奇跡，幸運女神格外垂青。,You constantly perform miracles; Lady Luck favors you.,あなたは常に奇跡を起こし、幸運の女神に特に愛されている。
*107,精神,探究者,探究者,Seeker,探究者,"精神大于等于20时,战斗开始时获得1层启示","精神大於等於20時,戰鬥開始時獲得1層{buff_epiphany}","If Spirit ≥ 20, gain 1 stack of {buff_epiphany} at combat start",精神が20以上の場合、戦闘開始時に{buff_epiphany}を1スタック獲得する,无论多么晦涩的魔力回路，你都可以参透。,無論多么晦澀的魔力回路，你都可以參透。,"No matter how obscure the magic circuit, you can unravel it.",どんなに難解な魔力回路でも、あなたは解読できる。
*108,感知,统合城邦,統合城邦,Unified Polis,統合都市国家,"感知大于等于20时,战斗开始时获得2层坚毅","感知大於等於20時,戰鬥開始時獲得2層{buff_impregnable}","If Perception ≥ 20, gain 2 stacks of {buff_impregnable} at combat start",感知が20以上の場合、戦闘開始時に{buff_impregnable}を2スタック獲得する,你已窥见众生百相，也坚定了心中的信念。,你已窺見眾生百相，也堅定了心中的信念。,You have seen countless beings and strengthened your resolve.,あなたは衆生の百相を垣間見、心中の信念を固めた。
*109,魔力,癫狂之手,癲狂之手,Hand of Madness,狂気の手,"魔力大于等于30时,你每次出牌额外造成6点伤害","魔力大於等於30時,你每次出牌有額外造成6點傷害","If Magic ≥ 30, deal +6 damage whenever you play a Card",魔力が30以上の場合、カードを使用するたびに追加で6ダメージを与える,你魔力的威能足以改天换地。,你魔力的威能足以改天換地。,The power of your magic can reshape heaven and earth.,あなたの魔力の威力は天地を覆すに足る。
*110,幸运,统治手谕,統治手諭,Dominion Decree,統治の手諭,"幸运大于等于30时,你的战斗奖励+1","幸運大於等於30時,你的戰鬥獎勵+1","If Luck ≥ 30, Combat Rewards +1",幸運が30以上の場合、戦闘報酬+1,奇迹总是主动降临到你身边。,奇跡總是主動降臨到你身邊。,Miracles come to you of their own accord.,奇跡は常にあなたのもとへ自ら舞い降りてくる。
*111,精神,先知者,先知者,Prophet,予言者,"精神大于等于30时,战斗开始时你获得1层鬼化","精神大於等於30時,戰鬥開始時你獲得1層{buff_oniblood}","If Spirit ≥ 30, gain 1 stack of {buff_oniblood} at combat start",精神が30以上の場合、戦闘開始時に{buff_oniblood}を1スタック獲得する,时间线对于凡人过于艰涩，而你早已穷尽一切可能。,時間線對於凡人過於艱澀，而你早已窮盡一切可能。,The timeline is too complex for mortals; but you have explored every possibility.,時間線は凡人にはあまりにも難解だが、あなたはとうに全ての可能性を究めている。
*116,感知,守望国度,守望國度,Watchful Nation,見守る国,"感知大于等于40时,战斗开始你获得1层源蜕。第1回合记录你的生命,之后每回合回溯到对应状态",感知大於等於40時，戰鬥開始你獲得1層{buff_sourcecast}。第1回合記錄你的生命，之後每回合回溯到對應狀態。,"If Perception ≥ 40, gain 1 stack of {buff_sourcecast} at combat start. On turn 1, record your Health; on each subsequent turn, return to that recorded state.",感知が40以上の場合、戦闘開始時に{buff_sourcecast}を1スタック獲得する。1ターン目にHPを記録し、以降の各ターンでその状態へ巻き戻る。,你洞悉世间万物，也窥视到一丝不属于“此处”的真相。,你洞悉世間萬物，也窺視到一絲不屬於“此處”的真相。,You grasp all things and glimpse a truth beyond this place.,あなたは世の万物を洞察し、「ここ」に属さない真実の一端を垣間見た。
*113,魔力,虚无之心,虛無之心,Heart of Void,虚無の心,"魔力大于等于40时,战斗开始时获得500层超凡","魔力大於等於40時,戰鬥開始時獲得500層{buff_extraordinary}","If Magic ≥ 40, gain 500 stacks of {buff_extraordinary} at combat start",魔力が40以上の場合、戦闘開始時に{buff_extraordinary}を500スタック獲得する,魔力开始自发涌动，铭刻着独属于你的回路。,魔力開始自發涌動，銘刻著獨屬於你的回路。,"Magic flows spontaneously, carving circuits unique to you.",魔力が自発的に流れ始め、あなただけの回路を刻み込む。
*114,幸运,规训律法,規訓律法,Disciplined Law,規律の法,"幸运大于等于40时,你的所有检定骰降低10检定难度，所有数值骰额外加10检定","幸運大於等於40時,你的所有檢定骰降低10檢定難度，所有數值骰額外加10檢定","If Luck ≥ 40, reduce the difficulty of all check dice by 10, and add 10 to all value dice rolls",幸運が40以上の場合、全ての判定ダイスの難易度-10、全ての数値ダイスに+10の追加判定,并非天命加身，你即是天命。,并非天命加身，你即是天命。,It is not fate that chose you; you are fate itself.,天命があなたに宿ったのではない、あなたが天命そのものなのだ。
*115,精神,觉悟者,覺悟者,Awakened One,覚悟者,"精神大于等于40时,战斗开始时自身获得2层循环,2层连斩,给与所有敌人一层时停",精神大於等於40時，戰鬥開始時自身獲得2層{buff_cycle}、2層{buff_contagion}，給予所有敵人1層{buff_timestop}。,"If Spirit ≥40, gain 2 Stacks of {buff_cycle} and 2 Stacks of {buff_contagion} at combat start; inflict 1 Stack of {buff_timestop} on all enemies",精神が40以上の場合、戦闘開始時に自身は循環を2スタック、汚染を2スタック獲得し、全ての敵に時間停止を1スタック付与する,你早已跳脱出时间，凡间的威胁再难伤你分毫。,你早已跳脫出時間，凡間的威脅再難傷你分毫。,You have transcended time; mortal threats can no longer harm you.,あなたはとうに時間を超越した。俗世の脅威があなたを傷つけることはもはやない。
*112,感知,静滞世界,靜滯世界,Stagnant World,停滞した世界,"感知大于等于30时,每回合获得1层坚毅",感知大於等於30時，每回合獲得1層{buff_impregnable}。,"If Perception ≥ 30, gain 1 stack of {buff_impregnable} each turn.",感知が30以上の場合、毎ターン{buff_impregnable}を1スタック獲得する。,万般因果加身，你成为世间第一因。,萬般因果加身，你成為世間第一因。,"Bound by countless causes and effects, you become the world's First Cause.",あらゆる因果をその身に受け、あなたは世界の第一原因となった。
32,高级,星星,星星,Star,星,行动时，额外对随机敌人造成一次3点伤害,行動時，額外對隨機敵人造成一次3點傷害,"When you act, deal 3 extra damage to a random enemy",行動時、ランダムな敵1体に追加で3ダメージを与える,,,Evil thoughts are more dangerous than the sharpest blades.,悪意は最も鋭い刃よりも危険だ。
33,高级,月亮,月亮,Moon,月,战斗开始时，你获得2层连斩,戰鬥開始時，你獲得2層连斩,Gain 2 Stacks of {buff_contagion} at combat start,戦闘開始時、汚染を2スタック獲得する,,,Evil thoughts are more dangerous than the sharpest blades.,悪意は最も鋭い刃よりも危険だ。
34,高级,太阳,太陽,Sun,太陽,战斗开始时，你获得2层庇护,戰鬥開始時，你獲得2層庇護,"At combat start, gain 2 stacks of Shelter.",戦闘開始時、庇護を2スタック獲得する,,,Evil thoughts are more dangerous than the sharpest blades.,悪意は最も鋭い刃よりも危険だ。
*35,高级,重生保险,重生保險,Rebirth Policy,再生の保険,每场冒险仅限一次，非最终领主战斗死亡时脱离,每場冒險僅限一次，非最終領主戰鬥死亡時脫離,"Once per adventure, if you die in a non-final boss battle, escape.",冒険ごとに1回のみ、最終ボス以外の戦闘で死亡時に離脱する,,,,
*36,诅咒,奇美拉之血,奇美拉之血,Blood of Chimera,キメラの血,战斗开始时最大生命值-4，三场战斗后销毁此祝福并获得3个萨满，3个牧师,戰鬥開始時最大生命值-4，三場戰鬥後銷毀此祝福並獲得3個薩滿，3個牧師,"At combat start, max Health -4. After 3 battles, destroy this Blessing and gain 3 Shamans and 3 Priests",戦闘開始時の最大体力-4、3回の戦闘後にこの祝福を破棄し、「シャーマン」3つ、「プリースト」3つを得る,,,,
*37,入职培训,入职培训,入职培训,Induction,初心者向けチュートリアル,新手教程专用祝福,新手教程專用祝福,Beginner Tutorial exclusive Blessing,初心者向けチュートリアル用の祝福,,,,
*38,宠物,报丧偈羽,報喪偈羽,Dirge Feather,告別の偈の羽,当魔女造成伤害时，对所有敌人额外造成一次5点真实伤害。,魔女造成傷害時，對全體敵方附帶一次5點真實傷害。,"When the Witch deals damage, deal an additional 5 True Damage to all enemies.",魔女がダメージを与えた時、敵全体に追加で5点の真実ダメージを1回与える。,,,,
*39,宠物,冥界追魂,冥界追魂,Nether Soulhunt,冥界の追魂,战斗开始时。给与魔女重生70。复活后，此祝福失效。,戰鬥開始時，給予魔女70層{buff_rebirth}。復活後，此祝福失效。,"At combat start, give the Witch 70 stacks of {buff_rebirth}. After reviving, this Blessing becomes inactive.",戦闘開始時、魔女に{buff_rebirth}を70スタック付与する。復活後、この祝福は無効になる。,,,,
*40,宠物,复合厄运,复合厄运,Dual Misfortune,複合厄運,魔女给与敌人负面效果时，有10%概率额外给一层。,魔女給予敵人負面效果時，有10%概率額外給1層。,"When the Witch applies a negative effect to an enemy, there is a 10% chance to apply 1 additional stack.",魔女が敵にデバフを付与した時、10%の確率で追加で1スタック付与する。,,,,
*41,宠物,使魔猫猫,幸运兔兔,Lucky Bunny,幸運うさぎ,战斗开始时给与魔女一张大奖。,战斗开始时给与魔女一张大奖。,"At combat start, give the Witch one Jackpot.",戦闘開始時、魔女に【幸運大賞】を1枚与える。,,,,
*42,宠物,万能口袋,万能口袋,Omni Pocket,万能ポケット,战斗开始时随机给与魔女一张带有焚毁的行动牌，此牌在本场战斗打出费用为0。,战斗开始时随机给与魔女一张带有焚毁的行动牌，此牌在本场战斗打出费用为0。,"At combat start, give the Witch a random Action card with Burn. It costs 0 this combat.",戦闘開始時、魔女に焼却を持つランダムな行動カードを1枚与える。このカードはこの戦闘中コスト0になる。,,,,
*43,漫画,魔王城首富,魔王城首富,Demonkeep Tycoon,魔王城の大富豪,战斗胜利时额外获得5金币。,戰鬥勝利時額外獲得5金幣。,Gain 5 extra Gold after each combat victory.,戦闘勝利時に追加で5ゴールドを獲得する。,,,,
*44,漫画,因为太懒就全部叠甲了,因為太懶就全部疊甲了,Lazy Armorstack,怠けすぎて全部積んだ鎧,回合结束时获得2点护盾。,回合結束時獲得2點護盾。,Gain 2 Shield at the end of each turn.,ターン終了時にシールドを2獲得する。,,,,
*45,漫画,候补勇者英雄谭,候補勇者英雄譚,Backup Hero Tale,候補勇者英雄譚,感知+3。,感知+3。,Perception +3.,感知+3。,,,,
*46,漫画,克莉斯娜秘闻录,克莉斯娜秘聞錄,Krisna Secrets,クリスナ秘聞録,每打出3张卡牌获得1层重生。,每打出3張卡牌獲得1層重生。,Gain 1 stack of {buff_rebirth} for every 3 cards played.,カードを3枚使用するごとに{buff_rebirth}を1スタック獲得する。,,,,
*47,漫画,如何做一只好猫,如何做一隻好貓,Good Cat Guide,良い猫になる方法,受到非自身来源的伤害时给予伤害来源2层流血。,受到傷害時給予傷害來源2層流血。,"When taking damage from a non-self source, inflict 2 stacks of {buff_bleeding} on the damage source.",自身以外の発生源からダメージを受けた時、ダメージ元に{buff_bleeding}を2スタック付与する。,,,,
*48,漫画,转生到异世界，我竟是最强魔女～？！,轉生到異世界，我竟是最強魔女～？！,Isekai Top Witch,異世界転生、私が最強魔女ですって～？！,回合开始时获得2层元素。,回合開始時獲得2層元素。,Gain 2 stacks of {buff_elements} at turn start.,ターン開始時に{buff_elements}を2スタック獲得する。,,,,
*49,,颓废,頹廢,Decadence,退廃,战斗开始时，在抽牌堆塞入一张诅咒,戰鬥開始時，在抽牌堆塞入一張詛咒,"At combat start, shuffle a Curse into your draw pile",戦闘開始時、ドローパイルに呪いを1枚入れる。,,,,
*50,,衰朽,衰朽,Decay,衰朽,你每失去6次魔能，额外失去1点魔能。,你每失去6次魔能，額外失去1點魔能。,"Whenever you lose Mana 6 times, lose 1 additional Mana.",マナを6回失うたび、追加でマナを1失う。,,,,
