Id,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description1,Description1_zh-Hant,Description1_en,Description1_ja,Description2,Description2_zh-Hant,Description2_en,Description2_ja,Level
10014,,幽怨之心,幽怨之心,Resentful Heart,怨念の心臓,<title>沉眠摇篮</title><main>能够削弱魔女的伤害</main>,<title>搖籃</title><main>能夠削弱魔女的傷害</main>,<title>Cradle</title><main>Reduces the witch's damage</main>,<title>ゆりかご</title><main>魔女のダメージを弱める</main>,<title>思维操纵</title><main>能够使魔女弃牌</main>,<title>思維操縱</title><main>能讓魔女棄牌</main>,<title>Mind Control</title><main>Forces the witch to discard cards</main>,<title>思考操縦</title><main>魔女に捨て札を強いることができる</main>,1
10015,,腐化巨蜥,腐化巨蜥,Corrupt Lizard,腐敗した巨大トカゲ,<title>战术小队</title><main>由多个不同职能的敌人组合</main>,<title>戰術小隊</title><main>多個不同職能的敵人組合</main>,<title>Squad</title><main>A group of enemies with different roles</main>,<title>タクティカルチーム</title><main>複数の異なる職能を持つ敵の組み合わせ</main>,,,,,1
10016,,混血狼裔,混血狼裔,Half-Blood Wolf,混血の狼,<title>膨胀恶意</title><main>不断的变强</main>,<title>膨脹惡意</title><main>會持續變強</main>,<title>Growing Malice</title><main>Grows stronger over time</main>,<title>膨張する悪意</title><main>時間と共に強くなる</main>,,,,,3
10017,,圣械协从,圣械協從,Sacred Automaton,T-307 鉄の箱,<title>金属外壳</title><main>抵御更多伤害</main>,<title>外殼</title><main>抵擋更多傷害</main>,<title>Shell</title><main>Provides extra damage resistance</main>,<title>殻</title><main>より多くのダメージを防ぐ</main>,,,,,2
10018,,惊喜礼物盒,驚喜禮物盒,Surprise Box,サプライズギフトボックス,<title>生存挑战</title><main>提前杀死礼物盒会受到惩罚</main>,<title>生存挑戰</title><main>若提前擊殺會受到懲罰</main>,<title>Survival Challenge</title><main>Killing the gift box early will trigger a punishment</main>,<title>サバイバルチャレンジ</title><main>早く倒すと罰を受ける</main>,,,,,2
10019,,莉莉,莉莉,One-Eye,木偶,<title>时间魔法</title><main>能够使魔女暂时停止行动</main>,<title>控制者</title><main>能使魔女暫停行動</main>,<title>Controller</title><main>Can temporarily stop the witch's actions</main>,<title>コントローラー</title><main>魔女の行動を一時停止させる</main>,<title>负伤</title><main>战斗会自带流血</main>,<title>負傷</title><main>戰鬥時會自帶流血效果</main>,<title>Wounded</title><main>Comes with {buff_bleeding} in combat</main>,<title>負傷</title><main>戦闘時に出血効果を伴う</main>,2
10020,,守夜人,守夜人,Night Watchman,災厄の予行演習,<title>守御加护</title><main>短时间内受到的伤害存在上限</main>,<title>守護加護</title><main>短時間內所受傷害有上限</main>,<title>Guarded Blessing</title><main>Damage taken is capped for a short time</main>,<title>守護の加護</title><main>短時間ダメージに上限がある</main>,,,,,2
10021,,腐化主教,腐化主教,Corrupted Bishop,腐敗した主教,<title>深渊祷告</title><main>能够清除魔女的强化效果</main>,<title>深淵祈禱</title><main>能夠清除魔女的強化效果</main>,<title>Abyssal Prayer</title><main>Can remove the witch's enhancement effects</main>,<title>深淵の祈り</title><main>魔女の強化効果を消すことができる</main>,,,,,1
10022,,普拉提之王,普拉提之王,Platy King,プラティの王,<title>军队</title><main>不击败源头的话，就会有源源不断的敌人</main>,<title>軍隊</title><main>不擊敗源頭的話，就會有源源不斷的敵人</main>,"<title>Army</title><main>If the source is not defeated, enemies will keep coming endlessly</main>",<title>軍隊</title><main>源を打ち破らなければ、次々と敵が現れるだろう</main>,,,,,1
10023,,普拉提壮壮,普拉提壯壯,Platy Bruiser,プラティ・ブルーザー,<title>军队</title><main>不击败源头的话，就会有源源不断的敌人</main>,<title>軍隊</title><main>不擊敗源頭的話，就會有源源不斷的敵人</main>,"<title>Army</title><main>If the source is not defeated, enemies will keep coming endlessly</main>",<title>軍隊</title><main>源を打ち破らなければ、次々と敵が現れるだろう</main>,,,,,1
*10024,,腐化圣骑,腐化圣騎,Corrupt Paladin,腐敗した聖騎士,<title>演化加护</title><main>受到攻击后变得更加难以击破</main>,<title>演化加護</title><main>受到攻擊後變得更加難以擊破</main>,<title>Evolutionary Guard</title><main>Becomes harder to break after being attacked</main>,<title>進化の加護</title><main>攻撃を受けるとさらに破られにくくなる</main>,<title>复合异常</title><main>使用带有中毒或灼烧的攻击</main>,<title>複合異常</title><main>使用帶有中毒或灼燒的攻擊</main>,<title>Compound Ailments</title><main>Uses attacks that inflict {buff_toxin} or {buff_burn}</main>,<title>複合異常</title><main>毒や火傷を与える攻撃を使用する</main>,2
10025,,腐化蛛人,腐化蛛人,Corrupt Spider,腐敗した蜘蛛人,<title>毒蛇之吻</title><main>使用能让魔女中毒的攻击</main>,<title>毒蛇之吻</title><main>會使用能讓魔女中毒的攻擊</main>,<title>Kiss of the Viper</title><main>Uses attacks that can poison the witch</main>,<title>毒蛇のキス</title><main>魔女を中毒させる攻撃を使うことができる</main>,<title>恩赐祷告</title><main>能够清除自身的负面状态</main>,<title>恩賜祈禱</title><main>能夠解除自身的負面效果</main>,<title>Blessed Prayer</title><main>Can clear its own negative statuses</main>,<title>恩寵の祈り</title><main>自身のデバフを解除できる</main>,1
10026,,恶意聚合体,惡意聚合體,Malice Amalgam,災厄の予行演習,<title>毒蛇之吻</title><main>使用能让魔女中毒的攻击</main>,<title>毒蛇之吻</title><main>會使用能讓魔女中毒的攻擊</main>,<title>Kiss of the Viper</title><main>Can use attacks that poison witches</main>,<title>毒蛇のキス</title><main>魔女を中毒させる攻撃を使うことができる</main>,,,,,1
*99999,,测试者,測試者,Tester,テスター,<title>小队</title><main>由多个敌人组成</main>,<title>小隊</title><main>由多個敵人組成</main>,<title>Squad</title><main>A group made up of multiple enemies</main>,<title>小隊</title><main>複数の敵で構成されている</main>,,,,,1
10027,,永夜化身,永夜化身,Evernight Avatar,常闇の化身,<title>影魔主脑</title><main>在第6回合释放即死攻击</main>,<title>影魔主腦</title><main>在第6回合釋放即死攻擊</main>,<title>Shadowfiend Overmind</title><main>Unleashes an instant-kill attack on turn 6</main>,<title>影魔の主脳</title><main>第6ターンに即死攻撃を放つ</main>,<title>复合异常</title><main>使用带有中毒或灼烧的攻击</main>,<title>複合異常</title><main>使用帶有中毒或灼燒的攻擊</main>,<title>Compound Ailments</title><main>Uses attacks that inflict {buff_toxin} or {buff_burn}</main>,<title>複合異常</title><main>毒や火傷を与える攻撃を使用する</main>,3
10028,,方片舞者,方片舞者,Diamond Dancer,ダイヤの踊り子,<title>酌定审判</title><main>依据魔女的手牌数给予伤害</main>,<title>酌定審判</title><main>依據魔女的手牌數給予傷害</main>,<title>Judgment at Discretion</title><main>Deal damage based on the number of cards in the witch's hand</main>,<title>汲み取り審判</title><main>魔女の手札の枚数に応じてダメージを与える</main>,,,,,1
10029,,暴怒残片,暴怒殘片,Wrath Shard,憤怒の破片,<title>战术小队</title><main>由多个不同职能的敌人组合</main>,<title>戰術小隊</title><main>多個不同職能的敵人組合</main>,<title>Tactical Squad</title><main>A combination of enemies with different roles</main>,<title>タクティカルチーム</title><main>複数の異なる職能を持つ敵の組み合わせ</main>,,,,,2
10032,,魔将 帕梅拉,魔將 帕梅拉,Succubus,サキュバス,<title>？？？</title><main>未收录信息</main>,<title>未知</title><main>不可知其名</main>,<title>Unknown</title><main>Its name is unknowable</main>,<title>未知</title><main>その名を知ることはできない</main>,,,,,3
10033,,熔火圣骸,熔火圣骸,Molten Relic,溶融聖械,<title>强制焚毁</title><main>能够焚毁魔女的行动牌</main>,<title>強制燃燼</title><main>能夠燃燼魔女的行動牌</main>,<title>Forced Incineration</title><main>Can incinerate the witch's action cards</main>,<title>強制焚焼</title><main>魔女のアクションカードを燃やすことができる</main>,,,,,1
10034,,自动机关人偶,自動機關人偶,Automaton Puppet,自動人形,<title>机关骰子</title><main>意图带有随机检定</main>,<title>骰子</title><main>意圖帶有隨機檢定</main>,<title>Clockwork Dice</title><main>Its intents involve random checks</main>,<title>サイコロ</title><main>意図にランダム判定を伴う</main>,,,,,2
10035,,K,K,Old Ace,エース,<title>意念侵蚀</title><main>给予魔女诅咒牌</main>,<title>意念侵蝕</title><main>給予魔女詛咒牌</main>,<title>Mind Erosion</title><main>Give the witch a curse card</main>,<title>意念侵食</title><main>魔女に呪いのカードを与える</main>,,,,,2
10036,,鬼牌:小王,鬼牌:小王,Joker: Black,ジョーカー：黒,<title>连体同心</title><main>连体的敌人死亡时，强化另一方</main>,<title>連體同心</title><main>連體的敵人死亡時，強化另一方</main>,"<title>Conjoined Hearts</title><main>When one conjoined enemy dies, the other is strengthened</main>",<title>心をひとつに宿す</title><main>連体の敵が死亡すると、もう一方が強化される</main>,,,,,2
10037,,鬼牌:小王,鬼牌:小王,Joker: Red,ジョーカー：赤,<title>连体同心</title><main>连体的敌人死亡时，强化另一方</main>,<title>連體同心</title><main>連體的敵人死亡時，強化另一方</main>,"<title>Conjoined Hearts</title><main>When one conjoined enemy dies, the other is strengthened</main>",<title>心をひとつに宿す</title><main>連体の敵が死亡すると、もう一方が強化される</main>,,,,,2
*10038,,灾厄祭司,災厄祭司,Calamity Priest,災厄の司祭,<title>侵蚀灾厄</title><main>魔女多次打出行动牌时会被重置手牌</main>,<title>巫術</title><main>魔女多次打出行動牌時會被重置手牌</main>,"<title>Eroding Calamity</title><main>When the witch plays multiple action cards, her hand is reset</main>",<title>魔術</title><main>魔女が複数回行動カードを使用すると、手札がリセットされます</main>,,,,,2
10039,,黑桃骑士,黑桃騎士,Spade Knight,スペードの騎士,<title>血流成河</title><main>使用能触发流血的攻击手段</main>,<title>血流成河</title><main>使用會造成流血的攻擊手段</main>,<title>Rivers of Blood</title><main>Uses attacks that cause {buff_bleeding}</main>,<title>血の川</title><main>出血を引き起こす攻撃を使用する</main>,,,,,2
10040,,魔女教教徒,魔女教教徒,Witch Cultist,魔女教の教徒,<title>“魔女秘典”</title><main>随机给自己抽取状态</main>,<title>教徒百寶箱</title><main>隨機給自己抽取狀態</main>,"<title>""Witch Grimoire""</title><main>Randomly grants itself a status</main>",<title>信者の宝箱</title><main>ランダムで自身に状態を付与する</main>,,,,,2
10041,,天眷者,天眷者,Favored One,天眷者,<title>伪 天界加护</title><main>随着战斗会不断提高生命恢复</main>,<title>偽 天界加护</title><main>隨著戰鬥會不斷提高生命恢復</main>,<title>Pseudo Celestial Blessing</title><main>Health recovery will continuously increase as the battle progresses</main>,<title>偽 天界の加護</title><main>戦闘が進むにつれて、生命回復が絶えず向上する</main>,,,,,1
10042,,吞金兽,吞金獸,Gold Eater,金を呑む獣,<title>金币宝藏</title><main>受到攻击时掉落金币</main>,<title>金幣寶藏</title><main>受到攻擊時掉落金幣</main>,<title>Coin Treasure</title><main>Drops coins when hit</main>,<title>小金庫</title><main>攻撃されるとコインを落とす</main>,,,,,1
10043,,活性晶簇,活性晶簇,Crystal Cluster,活性晶簇,<title>储能库</title><main>受到攻击时掉落魔能或行动牌</main>,<title>儲能庫</title><main>被打會爆出魔能或行動牌</main>,<title>Energy Storage</title><main>Drops mana or action cards when attacked</main>,<title>蓄電庫</title><main>壊されると魔力や行動カードを放出する</main>,,,,,1
10044,,操偶师,操偶師,Puppet Master,人形遣い,<title>战术小队</title><main>由多个不同职能的敌人组合</main>,<title>戰術小隊</title><main>多個不同職能的敵人組合</main>,<title>Squad</title><main>A group of enemies with different roles</main>,<title>タクティカルチーム</title><main>複数の異なる職能を持つ敵の組み合わせ</main>,,,,,2
10045,,巨大玩偶熊,巨大玩偶熊,Giant Doll Bear,巨大なぬいぐるみ熊,<title>战术小队</title><main>由多个不同职能的敌人组合</main>,<title>戰術小隊</title><main>多個不同職能的敵人組合</main>,<title>Squad</title><main>A group of enemies with different roles</main>,<title>タクティカルチーム</title><main>複数の異なる職能を持つ敵の組み合わせ</main>,,,,,2
10046,,恐惧残片,恐懼殘片,Fragment of Fear,恐怖の破片,<title>战术小队</title><main>多个不同职能的敌人组合</main>,<title>戰術小隊</title><main>多個不同職能的敵人組合</main>,<title>Tactical Squad</title><main>A combination of enemies with different roles</main>,<title>タクティカルチーム</title><main>複数の異なる職能を持つ敵の組み合わせ</main>,,,,,2
10047,,怠惰残片,怠惰殘片,Sloth Shard,怠惰の破片,<title>战术小队</title><main>多个不同职能的敌人组合</main>,<title>戰術小隊</title><main>多個不同職能的敵人組合</main>,<title>Tactical Squad</title><main>A combination of enemies with different roles</main>,<title>タクティカルチーム</title><main>複数の異なる職能を持つ敵の組み合わせ</main>,,,,,2
10048,,魔王,魔王,Demon King,魔王,<title>奇美拉</title><main>具有多种形态，每次死亡时解放</main>,<title>奇美拉</title><main>具有多種形態，每次死亡時解放</main>,<title>Chimera</title><main>Has multiple forms and unleashes a new one each time it dies</main>,<title>キメラ</title><main>複数の形態を持ち、死亡するたびに解放する</main>,<title>罪业原体</title><main>使用能够自我增值的特殊诅咒</main>,<title>罪業原體</title><main>使用能夠自我增值的特殊詛咒</main>,<title>Original Sin Entity</title><main>Uses special curses that can multiply themselves</main>,<title>罪業原体</title><main>自己増殖できる特殊な呪いを使用する</main>,4
10049,,魔王剑,魔王劍,Demon King Sword,魔王の剣,<title>衍生造物</title><main>被她的主人召唤出的衍生物</main>,<title>衍生造物</title><main>被她的主人召喚出的衍生物</main>,<title>Derivative Creation</title><main>A derivative summoned by her master</main>,<title>派生造物</title><main>彼女の主に召喚された派生物</main>,,,,,4
10050,,魔王剑,魔王劍,Demon King Sword,魔王の剣,<title>衍生造物</title><main>被她的主人召唤出的衍生物</main>,<title>衍生造物</title><main>被她的主人召喚出的衍生物</main>,<title>Derivative Creation</title><main>A derivative summoned by her master</main>,<title>派生造物</title><main>彼女の主に召喚された派生物</main>,,,,,4
*10051,,魔王,魔王,Demon King,魔王,,,,,,,,,4
*10052,,魔王,魔王,Demon King,魔王,,,,,,,,,4
*10053,,永夜化身,永夜化身,Evernight Avatar,常闇の化身,,,,,,,,,1
10054,,使魔猫猫,使魔貓貓,Familiar Cat,使い魔の猫,<title>怪物集群</title><main>由多个相同的敌人组成</main>,<title>怪物集群</title><main>由多個相同的敵人組成</main>,<title>Monster Swarm</title><main>Made up of multiple identical enemies</main>,<title>怪物集群</title><main>同じ敵が複数集まっている</main>,<title>猫猫</title><main>一群可爱的猫猫？</main>,<title>貓貓</title><main>一群可愛的貓貓？</main>,<title>Cats</title><main>A group of cute cats?</main>,<title>猫猫</title><main>かわいい猫たちの群れ？</main>,4
10055,,神圣审判机关,神圣審判機關,Judgment Engine,神聖審判機關,<title>命运之轮</title><main>行动开始时随机切换命运时刻，切换时对全场其他目标造成伤害并塞入2张随机诅咒牌</main>,<title>塔羅權能：命運之輪</title><main>行動開始時隨機切換命運時刻，切換時對全場其他目標造成傷害並塞入2張隨機詛咒牌</main>,"<title>Tarot Authority: Wheel of Fate</title><main>Randomly switches Fate Phase at action start; on switch, damages all other units and shuffles 2 random Curse cards into the Witch deck</main>",<title>タロット権能：運命の輪</title><main>行動開始時に運命刻をランダム切替。切替時、他全対象へダメージを与え呪いカードを2枚投入</main>,<title>复合防护</title><main>拥有3层结构护盾，生命归零时复原并获得短暂绝对防护；自身回合开始时结构层数-1</main>,<title>複合防護結構</title><main>擁有3層結構護盾，生命歸零時復原並獲得短暫絕對防護；自身回合開始時結構層數-1</main>,"<title>Composite Protection Structure</title><main>Has 3 Structural Layers. On HP 0, restores and gains brief absolute protection; loses 1 layer at the start of its turn</main>",<title>複合防護構造</title><main>構造層を3持つ。HP0で復元し短時間の絶対防護を得る。自身ターン開始時に層-1</main>,4
10056,,勇者卡洛琳,勇者卡洛琳,Caroline P1,勇者キャロライン,<title>历战勇者</title><main>死亡后将在下次勇者事件中回归并变得更强</main>,<title>歷戰勇者</title><main>死亡後將在下次勇者事件中回歸並變得更強</main>,"<title>Battle-Hardened Hero</title><main>After dying, she returns in the next Hero event and becomes stronger</main>",<title>歴戦の勇者</title><main>死亡後、次の勇者イベントで復帰し、さらに強くなる</main>,,,,,4
10057,,勇者卡洛琳,勇者卡洛琳,Caroline P2,勇者キャロライン,<title>历战勇者</title><main>死亡后将在下次勇者事件中回归并变得更强</main>,<title>歷戰勇者</title><main>死亡後將在下次勇者事件中回歸並變得更強</main>,"<title>Battle-Hardened Hero</title><main>After dying, she returns in the next Hero event and becomes stronger</main>",<title>歴戦の勇者</title><main>死亡後、次の勇者イベントで復帰し、さらに強くなる</main>,,,,,4
10058,,勇者卡洛琳,勇者卡洛琳,Caroline P3,勇者キャロライン,<title>完全天使</title><main>解放四件圣器的力量</main>,<title>完全天使</title><main>解放四件聖器的力量</main>,<title>Perfect Angel</title><main>Unleashes the power of the four sacred relics</main>,<title>完全天使</title><main>四つの聖器の力を解放する</main>,<title>无暇圣剑</title><main>使用带有即死效果的意图</main>,<title>無暇聖劍</title><main>使用帶有即死效果的意圖</main>,<title>Flawless Holy Sword</title><main>Uses intents with instant-death effects</main>,<title>無垢なる聖剣</title><main>即死効果を持つ意図を使用する</main>,4
10059,,混血龙裔,混血龍裔,Half-Dragonkin,混血竜裔,<title>龙血</title><main>拥有强大的生命力和身躯</main>,<title>龍血</title><main>擁有強大的生命力和身軀</main>,<title>Dragon Blood</title><main>Has powerful vitality and a strong body</main>,<title>竜血</title><main>強大な生命力と肉体を持つ</main>,,,,,3
10060,,鬼牌：大王,鬼牌：大王,Joker: King,ジョーカー：大王,<title>恶念鬼牌</title><main>使用能够伪装变形的特殊诅咒牌</main>,<title>惡念鬼牌</title><main>使用能夠偽裝變形的特殊詛咒牌</main>,<title>Malicious Joker</title><main>Uses special curse cards that can disguise and transform themselves</main>,<title>悪念ジョーカー</title><main>偽装変形できる特殊な呪いカードを使用する</main>,,,,,3
10061,,欲念魔女,欲念魔女,Desire Witch,欲念の魔女,<title>欲念诱引</title><main>损失一定生命时获得仅限一回合的大幅强化</main>,<title>欲念誘引</title><main>損失一定生命時獲得僅限一回合的大幅強化</main>,"<title>Desire Lure</title><main>After losing a certain amount of Health, gains a major boost for one turn only</main>",<title>欲念の誘引</title><main>一定量のHPを失うと、1ターン限定の大幅な強化を獲得する</main>,<title>意念侵蚀</title><main>给予魔女诅咒牌</main>,<title>意念侵蝕</title><main>給予魔女詛咒牌</main>,<title>Mind Erosion</title><main>Gives curse cards to the Witch</main>,<title>意念侵蝕</title><main>魔女に呪いカードを付与する</main>,3
