Id,Note,Name,Name_en,Name_zh-Hant,Name_ja,Description,Description_en,Description_zh-Hant,Description_ja
Irritable,,易怒,Irritable,易怒,激昂,回合开始时，获得10层【超凡】。,"At turn start, gain 10 stacks of [{buff_extraordinary}].",回合開始時，獲得10層{buff_extraordinary}。,ターン開始時、{buff_extraordinary}を10スタック得る。
Hysteresis,,迟滞,Hysteresis,遲滯,遅滞,回合开始时，将1张【虚无】加入魔女的手牌。,"At turn start, add a [Void] to the Witch’s hand.",回合開始時，將1張【虛無】加入魔女的手牌。,ターン開始時、【虚無】を魔女の手札に加える。
CalamityIncarnates,,灾祸化身,Calamity Avatar,災禍化身,災禍の化身,获得等同于【厄运魔能】点数的临时魔力与临时感知，且每次行动对全体敌人额外造成自身最大生命值2%的伤害。,Gain temporary Magic and temporary Perception equal to [{buff_DoomPower}]. Each action deals extra damage equal to 2% of Max Health to all enemies.,獲得等同於【厄運魔能】點數的臨時魔力與臨時感知，且每次行動對全體敵人額外造成自身最大生命值2%的傷害。,【厄運魔能】に等しい一時魔力と一時感知を得る。行動するたび敵全体に最大HP2%の追加ダメージ。
GiantDollBear,,巨大玩偶熊,Giant Doll Bear,巨大玩偶熊,巨大なぬいぐるみ熊,免疫【流血】。受到【灼烧】伤害时，会额外受到一次等量的真实伤害。被唤醒前不会行动。,"Immune to [{buff_bleeding}]. When taking [{buff_burn}] damage, take additional True Damage equal to that amount. Does not act before being awakened.",免疫{buff_bleeding}。受到{buff_burn}傷害時，會額外受到一次等量的真實傷害。被喚醒前不會行動。,{buff_bleeding}を無効化する。{buff_burn}ダメージを受けると同量の真実ダメージを追加で受ける。覚醒するまで行動しない。
WitchCultists,,魔女加护,Witch's Blessing,魔女教教徒,魔女教の教徒,战斗开始时，随机获得5个Buff。,"At battle start, gain 5 random buffs.",戰鬥開始時，隨機獲得5個Buff。,戦闘開始時、ランダムなバフを5つ得る。
Crow,,报丧偈羽,Deathfeather,報喪偈羽,報喪偈羽,当魔女造成伤害时，对所有敌人额外造成一次5点真实伤害。,"When the Witch deals damage, deal 5 additional True Damage once to all enemies.",當魔女造成傷害時，對所有敵人額外造成一次5點真實傷害。,魔女がダメージを与えた時、敵全体に追加で5点の真実ダメージを1回与える。
fluster,,渊默诅咒,Abyss Curse,慌亂,動揺,"每受到3次伤害,丢弃攻击者1张卡牌。","Every 3 times this unit takes damage, the attacker discards 1 card.",每受到3次傷害，丟棄攻擊者1張卡牌。,3回ダメージを受けるたび、攻撃者はカードを1枚捨てる。
OriginalSin,,魔王本相,True Demon Form,原罪化身,原罪の化身,魔王每次死亡时会切换形态。同时该回合不再受到伤害。,The Demon King changes form each time it dies. It also takes no further damage during that turn.,魔王每次死亡時會切換形態。同時該回合不再受到傷害。,魔王は死亡するたびに形態を切り替える。また、そのターン中はそれ以上ダメージを受けない。
DragonScaleArmor,,黑龙鳞甲,Blackscale Mail,黑龍鱗甲,黒竜の鱗鎧,魔王立即获得5层坚毅，每受伤4次再获得一层，自身回合开始时失去所有坚毅。,The Demon King immediately gains 5 stacks of {buff_impregnable}. Gain 1 more stack every 4 hits taken. Lose all {buff_impregnable} at the start of your turn.,魔王立即獲得5層{buff_impregnable}，每受傷4次再獲得1層，自身回合開始時失去所有{buff_impregnable}。,魔王は即座に{buff_impregnable}を5スタック獲得する。4回ダメージを受けるごとに1スタック追加で獲得する。自身のターン開始時、すべての{buff_impregnable}を失う。
SwordOfTheDemonKing,,魔剑,Demon King Sword,魔王之劍,魔王の剣,两把魔王之剑被破坏时，魔王会立即进入第二阶段。,"When both Sword of the Demon King are destroyed, the Demon King immediately enters Phase 2.",兩把魔王之劍被破壞時，魔王會立即進入第二階段。,魔王の剣2本が破壊されると、即座に第2形態に入る。
Demigod'sBody,,奇美拉之血,Blood of Chimera,半神之軀,半神の身,魔王在战斗开始时获得巨额护盾与8点固定免伤，每回合开始时获得30层超凡。,"At battle start, the Demon King gains a massive Shield and 8 Flat Damage Reduction. At the start of each turn, gain 30 stacks of {buff_extraordinary}.",魔王在戰鬥開始時獲得巨額護盾與8點固定免傷，每回合開始時獲得30層{buff_extraordinary}。,魔王は戦闘開始時に大量のシールドと固定軽減8を獲得する。毎ターン開始時、{buff_extraordinary}を30スタック獲得する。
EndlessDesire,,罪业原体,Sin Origin,罪業原體,罪業原体,魔女每抽4次牌，失去一点能量，每花费4次魔能，丢弃一张牌。,"Every 4 cards the Witch draws, she loses 1 Energy. Every 4 Mana she spends, she discards 1 card.",魔女每抽4次牌，失去1點能量，每花費4次魔能，丟棄1張牌。,魔女はカードを4枚引くごとにエネルギーを1失う。魔力を4回消費するごとにカードを1枚捨てる。
meowFamiliar,,使魔猫猫,Familiar Cat,使魔貓貓,使い魔の猫,使目标暂时变成使魔猫猫。效果结束后恢复原本形象。,Transform the target into a familiar cat temporarily. Revert to the original form when the effect ends.,使目標暫時變成使魔貓貓。效果結束後恢復原本形象。,対象を一時的に使い魔の猫へ変える。効果終了時に元の姿へ戻る。
HolyJudgementEngine,,审判机关,Judgment Engine,神聖審判機關,神聖審判機関,魔女回合开始时随机切换命运时刻并触发对应效果。命运切换时对全场其他目标造成伤害并随机塞入2张诅咒牌。拥有3层结构护盾。,"At the start of the Witch's turn, randomly switch Fate Phase and trigger the corresponding effect. When Fate changes, deal damage to all other targets and shuffle 2 random Curse cards into the Witch's deck. Has 3 Structural Layers.",行動開始時隨機切換命運時刻並觸發對應效果。命運切換時對全場其他目標造成傷害並隨機塞入2張詛咒牌。擁有3層結構護盾，生命歸零時可復原並進入短暫絕對防護。,行動開始時に運命刻をランダムで切り替え、対応効果を発動。切替時に他の全対象へダメージを与え、呪いカードをランダム2枚投入。構造層を3持ち、HP0時に復元して短時間の絶対防護を得る。
HJE_FateJudgment,,裁决之刻,Fate: Judgment,命運輪轉：裁決之刻,運命輪転：裁きの刻,所有单位受到伤害+50%，且每次行动后承受其最大生命值1%的真实伤害。,"All units take +50% damage, and after each action they suffer True Damage equal to 1% of Max Health.",所有單位受到傷害+50%，且每次行動後承受其最大生命值1%的真實傷害。,全ユニットが受けるダメージ+50%。さらに各行動後、最大HP1%の真実ダメージを受ける。
HJE_FateDawn,,启明之刻,Fate: Dawn,命運輪轉：啟明之刻,運命輪転：黎明の刻,魔女每次打出卡牌时支付6金币；若金币不足，则改为扣除等量生命上限。,"Whenever the Witch plays a card, pay 6 Gold; if insufficient, lose the same amount of Max Health instead.",魔女每次打出卡牌時支付6金幣；若金幣不足，則改為扣除等量生命上限。,魔女がカードを使うたび6ゴールドを支払う。足りない場合は同量の最大HPを失う。
HJE_FateHolyMachine,,圣械之刻,Fate: HolyMach,命運輪轉：聖械之刻,運命輪転：聖機の刻,全场单位每次受到伤害时，获得1层锋锐。,"Whenever any unit takes damage, it gains 1 stack of {buff_keenedge}.",全場單位每次受到傷害時，獲得1層{buff_keenedge}。,全ユニットはダメージを受けるたび{buff_keenedge}を1スタック得る。
HJE_AbsoluteShield,,结构防护,Structural Aegis,結構絕對防護,構造絶対防護,拥有结构绝对防护时，死亡时会立即复活并将身上的负面buff层数减半并失去一层结构护盾，且本回合不再受伤。,"While under Absolute Structural Shield, when it dies, it immediately revives, halves the stacks of negative buffs on it, loses 1 stack of Structural Shield, and takes no further damage this turn.",免疫一切傷害，直到下一個自己的回合開始。,次の自身ターン開始まであらゆるダメージを無効化する。
CAR_Momentum,,渐入佳境,Getting Better,漸入佳境,尻上がり,回合开始时获得20层超凡。,Gain 20 stacks of {buff_extraordinary} at turn start.,回合開始時獲得20層{buff_extraordinary}。,ターン開始時に{buff_extraordinary}を20スタック獲得する。
CAR_HeroBlessing,,勇者加护,Heroic Blessing,勇者加護,勇者の加護,第一次死亡时复活并恢复全部生命并在本回合不再受伤。根据此前承受最多的伤害类型（直伤/真实/异常）获得60%对应免疫。,"On first death, revive with full Health and take no further damage this turn. Gain 60% immunity to the damage type previously taken the most (direct/true/ailment).",首次死亡時復活並恢復全部生命。根據此前承受最多的傷害類型（直傷/真實/異常）獲得60%對應免疫。,初回死亡時に全回復で復活。死亡前に最も受けたダメージ種別（通常/真実/異常）への耐性60%を得る。
CAR_Deadline,,死线,Deadline,死線,死線,回合开始时向魔女手牌加入2张【直视死亡】。若魔女受到【圣剑：瑟兰提尔】伤害后手牌中【直视死亡】超过5张，则湮灭全部【直视死亡】并令魔女立即死亡。,"At turn start, add 2 [Death Gaze] cards to the Witch's hand. After being hurt by [Holy Sword: Serantir], if the Witch holds more than 5 [Death Gaze], annihilate all of them and kill the Witch instantly.",回合開始時向魔女手牌加入2張【直視死亡】。若魔女受到【聖劍：瑟蘭提爾】傷害後手牌中【直視死亡】超過5張，則湮滅全部【直視死亡】並令魔女立即死亡。,ターン開始時に魔女の手札へ【死を見つめる】を2枚追加する。【聖剣：セランティル】で被ダメージ後、手札の【死を見つめる】が5枚超なら全て消滅し魔女は即死する。
Dragon'sBlood,,龙血,Dragon's Blood,龍血,竜血,回合结束时，恢复已损生命值的50%并获得1层坚韧和20层超凡,"At turn end, restore 50% of lost Health and gain 1 stack of {buff_resilient} and 20 stacks of {buff_extraordinary}.",回合結束時，恢復已損生命值的50%並獲得1層{buff_impregnable}和20層{buff_extraordinary}。,ターン終了時、失ったHPの50%を回復し、強靭を1スタック、超越を20スタック獲得する。
DesireWitch,,欲念,Desire,欲念,欲念,每失去10%生命，获得30层超凡和3层坚毅。回合结束时失去所有超凡和坚毅,"Whenever you lose 10% Health, gain 30 stacks of Extraordinary and 3 stacks of Impregnable. Lose all Extraordinary and Impregnable at turn end",每失去10%生命，獲得30層{buff_extraordinary}和3層{buff_impregnable}。回合結束時失去所有{buff_extraordinary}和{buff_impregnable}。,HPを10%失うたび、超越を30スタック、堅毅を3スタック獲得する。ターン終了時、すべての超越と堅毅を失う。
Joker:King,,鬼牌:大王,Joker: King,鬼牌：大王,ジョーカー：大王,回合开始时，给魔女的抽牌堆塞入一张假卡。战斗开始时额外塞两张。,"At turn start, shuffle a Fake Card into the witch's draw pile. Shuffle 2 extra at combat start.",回合開始時，給魔女的抽牌堆塞入1張假卡。戰鬥開始時額外塞2張。,ターン開始時、魔女のドローパイルに偽カードを1枚入れる。戦闘開始時、追加で2枚入れる。
