Id,Note,Series,Tag,Name,Name_zh-Hant,Name_en,Name_ja,Tips,Tips_zh-Hant,Tips_en,Tips_ja,Description,Description_zh-Hant,Description_en,Description_ja
10,,爱与梦魇的阶梯,,双星,雙星,Twin Stars,双星,双星的命运紧密相连，魔女与魔族的命运也是如此。,雙星的命運緊密相連，魔女與魔族的命運也是如此。,"The fates of twin stars are tightly bound, as are the fates of witches and demons.",双星の運命は固く結ばれている。魔女と魔族の運命もまた同じだ。,其他目标每获得2次负面buff时，自身获得1层随机正面buff,其他目標每獲得1次負面buff時，自身獲得1層隨機正面buff,"Whenever another target gains negative buffs 2 times, gain 1 stack of a random positive buff.",他の対象が負面バフを1回獲得するたび、自身はランダムな正面バフを1スタック獲得する。
*11,,七重试炼,,悖论魔法书,悖論魔法書,Paradox Grimoire,パラドックス魔導書,记载禁忌的真理。将诅咒编织为燃料，世界腐朽之时，终将步向终焉的阶梯。,記載禁忌的真理。將詛咒編織為燃料，世界腐朽之時，終將步向終焉的階梯。,"It records forbidden truths. Curses are woven into fuel; when the world decays, it will at last climb the stairway to the end.",禁忌の真理が記されている。呪いを燃料へと編み、世界が朽ちる時、やがて終焉の階段へ進む。,"战斗时，获得新的卡牌时（包括诅咒，印牌，被塞牌），遗物计数+1
累计x点计数后，重置计数并使得未满的基础属性+1","戰鬥時，獲得新的卡牌時（包括詛咒，印牌，被塞牌），遺物計數+1
累計x點計數後，重置計數並使得未滿的基礎屬性+1","During combat, when you gain a new card (including curses, printed cards, and cards added to your deck), this relic's count +1.
After accumulating x counts, reset the count and increase one base attribute that is not at cap by +1.","戦闘中、新しいカードを獲得した時（呪い、印刷カード、差し込まれたカードを含む）、この遺物のカウント+1。
xカウント蓄積後、カウントをリセットし、上限に達していない基本ステータスを+1する。"
*12,,七重试炼,,七咒之戒,七咒之戒,Sevencurse Ring,七呪の指輪,七重诅咒加身，以剧痛与脆弱，换杀戮与财富之极致,七重詛咒加身，以劇痛與脆弱，換殺戮與財富之極致,"Seven curses laid upon the body, trading agony and frailty for the extremes of slaughter and wealth.",七重の呪いを身に受け、激痛と脆さと引き換えに、殺戮と富の極致を得る。,"受到的伤害+40%
护盾获取量-40%
受到的治疗量-50%
金币获得+40%
回合结束时，随机获得1种负面异常x层
回合结束时，流失当前生命10%
战斗结束时，损失当前金币的10%
战斗开始时，获得3层失格,额外抽3张牌，你牌库中的所有卡牌在本场战斗费用-1。
单次冒险中首次携带时，获得【诅咒之刃】【受诅者的加护】【七咒卷轴】
激活所有七咒物品
回合开始时，抽牌堆，手牌，弃牌堆，每有1张诅咒牌，获得1点咒力（跨战斗继承，显示在遗物右下角）","受到的傷害+40%
護盾獲取量-40%
受到的治療量-50%
金幣獲得+40%
回合結束時，隨機獲得1種負面異常x層
回合結束時，流失當前生命10%
戰鬥結束時，損失當前金幣的10%
戰鬥開始時，獲得3層失格，額外抽3張牌，你牌庫中的所有卡牌在本場戰鬥費用-1。
單次冒險中首次攜帶時，獲得【詛咒之刃】【受詛者的加護】【七咒卷軸】
激活所有七咒物品
回合開始時，抽牌堆，手牌，棄牌堆，每有1張詛咒牌，獲得1點咒力（跨戰鬥繼承，顯示在遺物右下角）","Damage taken +40%.
Shield gained -40%.
Healing received -50%.
Gold gained +40%.
At the end of your turn, gain x stacks of 1 random negative abnormality.
At the end of your turn, lose 10% of current Health.
At the end of combat, lose 10% of current Gold.
At combat start, gain 3 stacks of {buff_degrade} and draw 3 extra cards. All cards in your deck cost 1 less during this combat.
The first time this is carried in an adventure, gain 【Curse Blade】, 【Blessing of the Cursed】, and 【Scroll of Seven Curses】.
Activate all Seven Curses items.
At the start of your turn, for each curse card in your draw pile, hand, and discard pile, gain 1 Curse Power (carries across combats and is shown at the lower right of the relic).","受けるダメージ+40%。
獲得するShield-40%。
受ける回復量-50%。
獲得ゴールド+40%。
ターン終了時、ランダムな負面異常1種をxスタック獲得する。
ターン終了時、現在HPの10%を失う。
戦闘終了時、現在ゴールドの10%を失う。
戦闘開始時、Degradeを3スタック獲得し、追加でカードを3枚引く。この戦闘中、デッキ内の全てのカードのコスト-1。
1回の冒険で初めて所持した時、【呪いの刃】【呪われし者の加護】【七呪の巻物】を獲得する。
全ての七呪アイテムを有効化する。
ターン開始時、山札、手札、捨て札にある呪いカード1枚につき、呪力を1獲得する（戦闘をまたいで継承し、遺物右下に表示）。"
*13,,七重试炼,,七咒卷轴,七咒卷軸,Sevenfold Scroll,七呪の巻物,,,,,"无法以常规手段获得，只能通过【七咒之戒】获得，只有在携带【七咒之戒】时生效
造成伤害时有8%的概率获得（负面效果种数+7）*2 层超凡和自愈","無法以常規手段獲得，只能通過【七咒之戒】獲得，只有在攜帶【七咒之戒】時生效
造成傷害時有8%的概率獲得（負面效果種數+7）*2 層超凡和自愈","Cannot be obtained by normal means; it can only be gained through 【Ring of Seven Curses】 and only takes effect while carrying 【Ring of Seven Curses】.
When dealing damage, has an 8% chance to gain (number of negative effect types + 7) * 2 stacks of {buff_extraordinary} and {buff_evergreen}.","通常の手段では獲得できず、【七呪の指輪】を通じてのみ獲得できる。【七呪の指輪】を所持している時だけ効果を発揮する。
ダメージを与えた時、8%の確率で（負面効果の種類数+7）*2スタックのExtraordinaryと自癒を獲得する。"
*14,,奥尔德林诸神谕,,《圣言福音》,《聖言福音》,Sacred Gospel,『聖言の福音』,有些重的透明球体。既是占星术师获取天启、窥见未来的媒介，也是魔女间流行的恋爱占卜道具。,有些重的透明球體。既是占星術師獲取天啟、窺見未來的媒介，也是魔女間流行的戀愛占卜道具。,"A somewhat heavy transparent sphere. It is both a medium through which astrologers receive revelation and glimpse the future, and a love-divination tool popular among witches.",少し重い透明な球体。占星術師が天啓を得て未来を覗く媒介であり、魔女たちの間で流行している恋占いの道具でもある。,行动时有50%几率获得1层神启,行動時有50%機率獲得1層神啟,"When acting, has a 50% chance to gain 1 stack of {buff_revelation}.",行動時、50%の確率でEpiphanyを1スタック獲得する。
*15,,奥尔德林诸神谕,,游玲·石板,游玲·石板,Youling Slate,游玲・石板,,,,,战斗开始时获得3层神启，那之后，每打出一张卡，获得神启层数的护盾,戰鬥開始時獲得3層神啟，那之後，每打出一張卡，獲得神啟層數的護盾,"At combat start, gain 3 stacks of {buff_revelation}. After that, each time you play a card, gain Shield equal to your {buff_revelation} stacks.",戦闘開始時、Epiphanyを3スタック獲得する。その後、カードを1枚プレイするたび、Epiphanyスタック数に等しいShieldを獲得する。
*16,,奥尔德林诸神谕,,□□□的雕像,□□□的雕像,Statue of □□□,□□□の像,你找到了祂，祂苏醒了，为祂的回归献上一切,你找到了祂，祂甦醒了，為祂的回歸獻上一切,You found Them. They have awakened. Offer everything for Their return.,あなたはそれを見つけた。それは目覚めた。その帰還のために、全てを捧げよ。,每次焚毁手牌时，使我方获得一层神启（若存在唤神标签，再额外加一），当神启层数每提升5层获得20超凡。,每次焚毀手牌時，使我方獲得一層神啟（若存在喚神標籤，再額外加一），當神啟層數每提升5層獲得20超凡。,"Each time a card in hand is Burned, allies gain 1 stack of {buff_revelation} (gain 1 additional stack if the Invocation tag is present). For every 5-stack increase in {buff_revelation}, gain 20 {buff_extraordinary}.",手札をBurnするたび、味方はEpiphanyを1スタック獲得する（Invocationタグがある場合、さらに+1）。Epiphanyスタックが5増えるたび、Extraordinaryを20獲得する。
*17,,飞升之路,,难以忘却的苦痛,難以忘卻的苦痛,Unforgotten Pain,忘れがたき苦痛,,,,,"每受1次伤害立即对全体敌方造成1点真实伤害,逐渐叠加",每受1次傷害立即對全體敵方造成1點真實傷害，逐漸疊加,"Each time you take damage, immediately deal 1 True Damage to all enemies. This gradually stacks.",ダメージを1回受けるたび、即座に敵全体へ1のTrue Damageを与える。これは徐々に重なっていく。
*18,,飞升之路,,企鹅,企鵝,Penguin,ペンギン,ALL JUSTICE!!!,ALL JUSTICE!!!,ALL JUSTICE!!!,ALL JUSTICE!!!,每次造成伤害就叠加10%的增伤，受到任意伤害后重置,每次造成傷害就疊加10%的增傷，受到任意傷害後重置,"Each time you deal damage, stack +10% damage dealt. Resets after taking any damage.",ダメージを与えるたび、与ダメージ+10%を蓄積する。何らかのダメージを受けるとリセットされる。
*19,,血鬼谱系综述,,细高跟鞋,細高跟鞋,Stiletto Heels,ピンヒール,尖锐的金属鞋跟，优雅而致命。,尖銳的金屬鞋跟，優雅而致命。,"A sharp metal heel, elegant and lethal.",鋭い金属のヒール。優雅で、致命的。,攻击时附加2层流血；,攻擊時附加2層流血；,"When attacking, apply 2 stacks of {buff_bleeding}.",攻撃時、Bleedingを2スタック付与する。
*20,,万物元素之始,,银之匙,銀之匙,Silver Key,銀の鍵,异世界的吸血鬼小姐为魔女带来了门之主赋予的宝物，它能打开终极之门，但最好别这样做,異世界的吸血鬼小姐為魔女帶來了門之主賦予的寶物，它能打開終極之門，但最好別這樣做,"A vampire lady from another world brought the witch a treasure granted by the Lord of the Gate. It can open the ultimate gate, though it is best not to do so.",異世界の吸血鬼の少女が、門の主より授かった宝物を魔女へもたらした。究極の門を開けられるが、そうしない方がいい。,战斗开始时获得8层元素，每两次攻击附带当前血量8%真实伤害,戰鬥開始時獲得8層元素，每兩次攻擊附帶當前血量8%真實傷害,"At combat start, gain 8 stacks of {buff_elements}. Every 2 attacks, add True Damage equal to 8% of current Health.",戦闘開始時、Elementsを8スタック獲得する。攻撃2回ごとに、現在HPの8%のTrue Damageを追加する。
*22,,深渊生存法则,,花上亡灵的胸针,花上亡靈的胸針,Ghostblossom Pin,花上亡霊のブローチ,原初魔女花上亡灵生平一直佩戴的胸针。只以一念柔肠，护万代魔女身。这枚胸针是最初的温，最后的真,原初魔女花上亡靈生平一直佩戴的胸針。只以一念柔腸，護萬代魔女身。這枚胸針是最初的溫，最後的真,"The brooch worn throughout life by the primal witch, the Ghost Above Flowers. With one tender thought, it shelters witches through countless generations. This brooch is the first warmth and the final truth.",原初の魔女、花上亡霊が生涯身につけていたブローチ。ただ一念の優しさで、万代の魔女たちを守る。このブローチは最初の温もりであり、最後の真実。,回合开始时，若自身没有失格，给予自身5层失格；攻击时恢复伤害一定比例护盾（不经过受伤计算），并对敌方全体造成攻击一半的真实伤害,回合開始時，若自身沒有失格，給予自身5層失格；攻擊時恢復傷害一定比例護盾（不經過受傷計算），並對敵方全體造成攻擊一半的真實傷害,"At the start of your turn, if you do not have {buff_degrade}, apply 5 stacks of {buff_degrade} to yourself. When attacking, restore Shield equal to a portion of damage dealt (without going through damage-taken calculation), and deal True Damage equal to half the attack to all enemies.",ターン開始時、自身にDegradeがない場合、自身にDegradeを5スタック付与する。攻撃時、与えたダメージの一定割合のShieldを回復し（被ダメージ計算を経由しない）、敵全体に攻撃の半分に等しいTrue Damageを与える。
*23,,深渊生存法则,,不落要塞,不落要塞,Eternal Bastion,不落の要塞,"荒芜之地上残破不堪的要塞，不计其数的战争都没能将其摧毁，当黑夜再次降临，它会就此倒塌掩埋一切，还是继续迎接更多黎明

联邦与魔族的战争在奥克维希亚持续了千年，这片要塞却从未陷落
当名为魔女的毁灭再次降临，它将续写自己的传奇迎接新的黎明，还是就此掩入历史的尘埃

究竟是神明的庇护还是历史的巧合……至今仍是未解之谜
现如今，他已成为幸存者们的文化符号","荒蕪之地上殘破不堪的要塞，不計其數的戰爭都沒能將其摧毀，當黑夜再次降臨，它會就此倒塌掩埋一切，還是繼續迎接更多黎明

聯邦與魔族的戰爭在奧克維希亞持續了千年，這片要塞卻從未陷落
當名為魔女的毀滅再次降臨，它將續寫自己的傳奇迎接新的黎明，還是就此掩入歷史的塵埃

究竟是神明的庇護還是歷史的巧合……至今仍是未解之謎
現如今，他已成為倖存者們的文化符號","A broken fortress in the wasteland. Countless wars failed to destroy it. When night falls again, will it collapse and bury everything, or continue to greet more dawns?

The war between the Federation and the demons lasted a thousand years in Oakvisia, yet this fortress never fell.
When the destruction called witches descends once more, will it continue its legend and welcome a new dawn, or sink into the dust of history?

Whether it was divine protection or historical coincidence remains an unsolved mystery.
Today, it has become a cultural symbol for the survivors.","荒れ果てた地に残る、崩れかけの要塞。数えきれない戦争もそれを破壊できなかった。再び夜が降りる時、それは崩れ落ちて全てを埋めるのか、それともさらに多くの黎明を迎えるのか。

連邦と魔族の戦争はオークヴィシアで千年続いたが、この要塞は一度も陥落しなかった。
魔女という名の破滅が再び降り立つ時、それは伝説を継いで新たな夜明けを迎えるのか、それとも歴史の塵に沈むのか。

神の庇護か、歴史の偶然か……いまだ解けぬ謎である。
今では、生存者たちの文化的象徴となっている。",每场战斗限一次，角色受到致死伤害时触发，HP变为1点，储存接下来受到的所有伤害，回合结束时魔能上限减少1/2（向上取整），当回合结束时若角色魔能上限=0，该效果失效，对角色造成等同于储存伤害的真实伤害,每場戰鬥限一次，角色受到致死傷害時觸發，HP變為1點，儲存接下來受到的所有傷害，回合結束時魔能上限減少1/2（向上取整），當回合結束時若角色魔能上限=0，該效果失效，對角色造成等同於儲存傷害的真實傷害,"Once per combat, triggers when the character takes lethal damage: HP becomes 1 and all subsequent damage taken is stored. At the end of the turn, Max Mana is reduced by 1/2 (rounded up). If the character's Max Mana is 0 at turn end, this effect expires and deals True Damage to the character equal to the stored damage.",各戦闘で1回まで、キャラクターが致死ダメージを受けた時に発動する。HPは1になり、その後に受ける全てのダメージを蓄積する。ターン終了時、最大マナが1/2減少する（切り上げ）。ターン終了時にキャラクターの最大マナが0なら、この効果は失効し、蓄積したダメージに等しいTrue Damageをキャラクターに与える。
*24,,深渊生存法则,,红糖豆沙馅馄饨,紅糖豆沙餡餛飩,Sweetbean Wonton,黒糖あん入りワンタン,由神秘国度传统美食本土化改造而来的甜品，制作时会受到名为“亵渎美食”的神秘伤害，但成品深受魔女喜爱，可以恢复战斗中造成的所有创伤。,由神秘國度傳統美食本土化改造而來的甜品，製作時會受到名為「褻瀆美食」的神秘傷害，但成品深受魔女喜愛，可以恢復戰鬥中造成的所有創傷。,"A dessert adapted from the traditional cuisine of a mysterious land. Making it inflicts a strange damage known as “culinary blasphemy,” but witches adore the finished dish, which can heal every wound caused in battle.",神秘の国の伝統料理を現地風に改造した甘味。作る時には「美食への冒涜」と呼ばれる謎のダメージを受けるが、完成品は魔女たちに大人気で、戦闘で負ったあらゆる傷を癒やせる。,回合开始时受到1*当前回合数的伤害（直接扣除生命值，最大值为20），回合结束时回复2*本回合所受伤害的生命值,回合開始時受到1*當前回合數的傷害（直接扣除生命值，最大值為20），回合結束時回復2*本回合所受傷害的生命值,"At the start of your turn, take damage equal to 1 * current turn number (directly subtracts Health, maximum 20). At the end of your turn, restore Health equal to 2 * damage taken this turn.",ターン開始時、1*現在のターン数のダメージを受ける（HPを直接減少、最大20）。ターン終了時、このターンに受けたダメージ*2のHPを回復する。
*25,,高阶魔法基础·必修一,,贤者之石,賢者之石,Sage's Stone,賢者の石,一个红色的心形宝石，曾经的拥有者已经不在了，似乎能给予力量。,一個紅色的心形寶石，曾經的擁有者已經不在了，似乎能給予力量。,"A red heart-shaped gem. Its former owner is gone, but it seems able to grant power.",赤いハート型の宝石。かつての持ち主はもういないが、力を与えてくれるようだ。,每回合开始时随机使一张牌费用减1-3,每回合開始時隨機使一張牌費用減1-3,"At the start of each turn, randomly reduce the cost of 1 card by 1-3.",各ターン開始時、ランダムなカード1枚のコストを1-3減少させる。
