Id,Note,Image,Name,Description,Name_zh-Hant,Name_en,Description_zh-Hant,Description_en,Name_ja,Description_ja
Action card,,Images/Tutorial/Fight/战斗,行动牌,"当轮到我方的回合时，玩家需要打出手中的行动牌来产生各种各样的效果以取得胜利
行动牌分为两大类，黑色的“焚毁行动牌”和白色的“普通行动牌”
带有焚毁词条的行动牌使用后会从本次战斗中彻底消失，无法再使用，在战斗结束后恢复
而普通行动牌则会进入弃牌堆，待抽牌堆的卡牌全部抽完之后将弃牌堆的卡牌洗入抽牌堆重新抽取",行動牌,Action Cards,"當輪到我方的回合時，玩家需要打出手中的行動牌來產生各種各樣的效果以取得勝利
行動牌分為兩大類，黑色的“焚毀行動牌”和白色的“普通行動牌”
帶有焚毀詞條的行動牌使用後會從本次戰鬥中徹底消失，無法再使用，在戰鬥結束後恢復
而普通行動牌則會進入棄牌堆，待抽牌堆的卡牌全部抽完之後將棄牌堆的卡牌洗入抽牌堆重新抽取","During your turn, you need to play action cards from your hand to produce various effects to achieve victory.\nAction cards are divided into two main categories: black ""Burn Action Cards"" and white ""Normal Action Cards"".\nCards with the Burn keyword will be permanently removed from the current battle after use and cannot be used again until the battle ends (after which they are restored).\nNormal Action Cards will go to the discard pile. After all cards in the draw pile are drawn, the discard pile is shuffled back into the draw pile.",アクションカード,"自分のターンでは、手札のアクションカードを使用して様々な効果を発動させ、勝利を目指します。
アクションカードは大きく分けて、黒い「燃焼アクションカード」と白い「通常アクションカード」の2種類があります。
「燃焼」特性を持つカードは使用後、その戦闘から完全に取り除かれ、戦闘が終了するまで再使用できません。
通常のアクションカードは捨て札置き場に行き、山札がなくなると、捨て札がシャッフルされて新たな山札になります。"
Piles/fold piles,,Images/Tutorial/Fight/牌堆,牌堆/弃牌堆,"点击左下角的卡背，可以查看目前抽牌堆中的卡牌
点击右下角的卡牌按钮，可以查看目前弃牌堆中的卡牌",牌堆/棄牌堆,Draw Pile / Discard Pile,"點擊左下角的卡背，可以查看目前抽牌堆中的卡牌
點擊右下角的卡牌按鈕，可以查看目前棄牌堆中的卡牌",Click the card back in the bottom-left corner to view the cards currently in your draw pile.\nClick the card button in the bottom-right corner to view the cards currently in your discard pile.,山札/捨て札,"左下のカードの裏面をクリックすると、現在の山札の中身を確認できます。
右下のカードボタンをクリックすると、現在の捨て札の中身を確認できます。"
Magic power,,Images/Tutorial/Fight/魔能,魔能,"大部分行动牌都需要消耗魔能，魔能会在回合开始时自然恢复。回合开始的基础恢复值为3。
魔能具有6点的最大上限。",魔能,Mana,"大部分行動牌都需要消耗魔能，魔能會在回合開始時自然恢復。回合開始的基礎恢復值為3。
魔能具有6點的最大上限。",Most action cards require Mana to be played. Mana regenerates naturally at the start of your turn. The base recovery value is 3.\nThe maximum Mana capacity is 6.,マナ,"ほとんどのアクションカードは使用にマナを必要とします。マナはターン開始時に自然に回復します。ターン開始時の基本回復値は3です。
マナの最大値は6です。"
Base attributes,,Images/Tutorial/Adventure/状态栏,基础属性,"玩家的基础属性一共有五种

生命：代表魔女的健康状态，归零时游戏结束
魔力：能够提高魔女造成的伤害
精神：精神越高卡组能够装备的卡牌上限越高，下限越低
感知：能够提高护盾的效果
幸运：能够提高随机数检定的成功率，以及金币的获取量",基礎屬性,Basic Attribute,"玩家的基礎屬性一共有五種

生命：代表魔女的健康狀態，歸零時遊戲結束
魔力：能夠提高魔女造成的傷害
精神：精神越高卡組能夠裝備的卡牌上限越高，下限越低
感知：能夠提高護盾的效果
幸運：能夠提高隨機數檢定的成功率，以及金幣的獲取量",There are five base attributes for the player:\n\nHealth: Represents the witch's well-being; the game ends when it reaches zero.\nMagic: Increases the damage dealt by the witch.\nSpirit: Higher Spirit increases the upper limit and decreases the lower limit of cards you can equip in your deck.\nPerception: Enhances the effect of Shield.\nLuck: Increases the success rate of random checks and the amount of gold obtained.,基本ステータス,"プレイヤーの基本ステータスは5種類あります：

生命：魔女の健康状態。0になるとゲームオーバー。
魔力：魔女が与えるダメージを増加させる。
精神：精神が高いほど、デッキに装備できるカードの上限が増え、下限が減る。
感知：シールドの効果を高める。
幸運：ランダム判定の成功率とゴールドの獲得量を増加させる。"
Relic,,Images/Tutorial/Adventure/状态栏,遗物,遗物可以用于强化魔女，最大可装备数量为6个，如果遗物不满6个，获得时会自动装备，否则需要在休息点替换。,遺物,Relics,遺物可以用於強化魔女，最大可裝備數量為6個，如果遺物不滿6個，獲得時會自動裝備，否則需要在休息點替換。,"Relics can be used to enhance the witch. You can equip a maximum of 6. If you have fewer than 6 relics, newly acquired ones will be automatically equipped. Otherwise, you will need to swap them at a Rest Stop.",遺物,遺物は魔女を強化するために使用できます。最大6個まで装備可能です。装備数が6個未満の場合、獲得した遺物は自動的に装備されます。そうでない場合は、休憩所で交換する必要があります。
Monetary resources,,Images/Tutorial/Adventure/状态栏,货币资源,"货币分为两种，金币和真理之晶

金币可以用于在游戏中的商店购买各种卡牌，遗物，祝福。顺利完成一次冒险可以带回所有金币
，反之死亡会丢失所有随身携带的金币。
冒险中可以通过保险箱带出或者带入少量金币。

真理之晶用于魔女屋的升级和解锁，通常只能通过完成游戏获得，即使死亡也不会丢失。",貨幣資源,Currencies,"貨幣分為兩種，金幣和真理之晶

金幣可以用於在遊戲中的商店購買各種卡牌，遺物，祝福。順利完成一次冒險可以帶回所有金幣
，反之死亡會丟失所有隨身攜帶的金幣。
冒險中可以通過保險箱帶出或者帶入少量金幣。

真理之晶用於魔女屋的升級和解鎖，通常只能通過完成遊戲獲得，即使死亡也不會丟失。","There are two types of currency: Gold and Truth Crystal.\n\nGold can be used in shops during a run to buy various cards, relics, and blessings. If you successfully complete an adventure, you can bring back all your gold.\nHowever, if you die, you will lose all the gold you are carrying.\nYou can bring a small amount of gold in or out of an adventure via the Safe Box.\n\nTruth Crystal are used for upgrades and unlocks in the Witch's House. They are usually obtained by completing games and will not be lost upon death.",通貨リソース,"通貨はゴールドと真理の結晶の2種類です。

ゴールドはゲーム中のショップでカード、遺物、祝福などを購入するために使用します。冒険を無事に完了すると、全てのゴールドを持ち帰ることができますが、
死亡すると所持しているゴールドは全て失われます。
金庫を使えば、少量のゴールドを冒険に持ち込んだり持ち出したりできます。

真理の結晶は魔女の家のアップグレードや解放に使用します。通常はゲームを完了することで獲得し、死亡しても失われることはありません。"
Toughness,,Images/Tutorial/Fight/敌人,韧性,"敌人每次受到直接攻击时韧性会遭到削减1点，
韧性为零后敌人为进入破韧状态，接下来受到的伤害会提高100%，直到敌人的回合开始时恢复至上限",韌性,Toughness,"敵人每次受到直接攻擊時韌性會遭到削減1點，
韌性為零后敵人為進入破韌狀態，接下來受到的傷害會提高100%，直到敵人的回合開始時恢復至上限","Each time an enemy is hit by a direct attack, their Toughness is reduced by 1.\nWhen Toughness reaches zero, the enemy enters a Broken state and will take 100% increased damage until the start of their next turn, when their Toughness is restored to its maximum.",靭性,"敵が直接攻撃を受けるたびに、靭性が1減少します。
靭性が0になると、敵は靭性ブレイク状態になり、受けるダメージが100%増加します。この効果は、敵のターン開始時に靭性が上限まで回復するまで続きます。"
Hp,,Images/Tutorial/Fight/敌人,生命值,在单位名称脚下显示的是单位的健康状态，当生命值归零时单位死亡,生命值,Health,在單位名稱腳下顯示的是單位的健康狀態，當生命值歸零時單位死亡,"Displayed beneath the unit's name is their health status. When Health reaches zero, the unit dies.",HP,ユニット名の足元に表示されているのが、そのユニットの健康状態です。HPが0になると、そのユニットは死亡します。
Defence,,Images/Tutorial/Fight/敌人,护盾,在战斗中魔女可以获得护盾，以蓝色的血条表示，大部分伤害都会先对护盾造成伤害，然后才对生命造成伤害，护盾可以保留到战斗结束,護盾,Shield,在戰鬥中魔女可以獲得護盾，以藍色的血條表示，大部分傷害都會先對護盾造成傷害，然後才對生命造成傷害，護盾可以保留到戰鬥結束,"During combat, the witch can gain a Shield, represented by a blue health bar. Most damage will be dealt to the Shield first before affecting Health. The Shield can be retained until the end of the battle.",シールド,戦闘中、魔女はシールドを獲得できます。これは青いHPバーで表示されます。ほとんどのダメージは、まずシールドに与えられ、その後にHPに影響します。シールドは戦闘終了まで保持されます。
Buff,,Images/Tutorial/Fight/敌人,buff,单位的血条下方为buff栏，显示单位受到的异常状态，鼠标悬浮在单位上方可查看详细的异常效果,buff,Buffs,單位的血條下方為buff欄，顯示單位受到的異常狀態，鼠標懸浮在單位上方可查看詳細的異常效果,"Below the unit's health bar is the buff bar, which displays the status effects on the unit. You can hover your mouse over the unit to view detailed descriptions of the effects.",バフ,ユニットのHPバーの下にはバフ欄があり、ユニットが受けている状態異常が表示されます。ユニットにマウスカーソルを合わせると、効果の詳細を確認できます。
Action,,Images/Tutorial/Fight/敌人,意图,非魔女的单位头顶会出现意图，代表此单位下一回合的行动，每个意图对应一次行动，鼠标悬浮在意图上可以查看意图的详细效果,意圖,Intent,非魔女的單位頭頂會出現意圖，代表此單位下一回合的行動，每個意圖對應一次行動，鼠標懸浮在意圖上可以查看意圖的詳細效果,"Above non-witch units, an Intent will appear, representing the unit's action on its next turn. Each Intent corresponds to one action. You can hover your mouse over the Intent to see its detailed effect.",インテント,魔女以外のユニットの頭上には、次のターンに行う行動を示すインテントが表示されます。各インテントは1回の行動に対応しています。インテントにマウスカーソルを合わせると、その詳細な効果を確認できます。
