Id,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja,AttributeText,AttributeText_zh-Hant,AttributeText_en,AttributeText_ja
10,普通,灾厄先兆,災厄先兆,Harbinger of Calamity,廃坑,"<color=yellow>普通</color><br>厄运的先遣者，世界对魔女恶意的具象化体现
如今，奥尔德林的獠牙已不加掩饰","<color=yellow>普通</color><br>厄運的先遣者，世界對魔女惡意的具象化體現
如今，奧爾德林的獠牙已不加掩飾","<color=yellow>Common</color><br>Harbingers of misfortune, the world's malice toward witches given form.
Now, Aldrin's fangs are no longer hidden.","<color=yellow>ノーマル</color><br>厄運の先遣者。世界が魔女へ向ける悪意の具現。
今や、オルドリンの牙は隠されることもない。",,,,
11,精英,蛛人巢穴,蛛人巢穴,Spiderfolk Nest,古代神の祭壇,<color=red>精英</color><br>被鲜血染红的古老石台，刻满了无法理解的神秘符文，空气中弥漫着死亡的气息，你会成为下一个献给古神的祭品吗？,<color=red>精英</color><br>被鮮血染紅的古老石臺，刻滿了無法理解的神秘符文，空氣中彌漫著死亡的氣息，你會成為下一個獻給古神的祭品嗎？,"<color=red>Elite</color><br>An ancient stone altar stained red with blood, carved with incomprehensible mystic runes. The air reeks of death. Will you be the next sacrifice offered to the ancient god?",<color=red>エリート</color><br>血で赤く染まった古い石台には、理解不能な神秘のルーンが刻まれている。空気には死の気配が漂う。あなたは古き神へ捧げられる次の生贄になるのだろうか？,,,,
12,首领,巨蜥洞穴,巨蜥洞穴,Giant Lizard Den,古竜の巣,<color=#800001>Boss</color><br>灾厄的鳞角，龙族的旁系，还有一只戴着奇怪帽子的小猫，一对奇怪的组合，她们是厄运的先锋……？还是说，是我的到来打扰了她们的安宁……？,<color=#800001>Boss</color><br>災厄的鱗角，龍族的旁系，還有一只戴著奇怪帽子的小貓，一對奇怪的組合，她們是厄運的先鋒……？還是說，是我的到來打擾了她們的安寧……？,"<color=#800001>Boss</color><br>Horns and scales of calamity, a branch of the dragonkin, and a little cat wearing a strange hat. What an odd pair. Are they heralds of misfortune...? Or did my arrival disturb their peace...?",<color=#800001>ボス</color><br>災厄の鱗角、竜族の傍系、そして奇妙な帽子をかぶった子猫。妙な組み合わせだ。彼女たちは厄運の先鋒なのか……？それとも、私の来訪が彼女たちの平穏を乱しただけなのか……？,,,,
13,首领,黏黏军团,黏黏軍團,Slime Legion,プラティの王,"<color=#800002>Boss</color><br>作为魔族食物链的底端，普拉提为魔族的运转提供了大部分能量来源
如今，这一外形和果冻雷同的种族也诞生了自己的王
它们向魔女挥剑相向并非出于生存本能，而是对普拉提王的忠诚
“保卫陛下！”","<color=#800002>Boss</color><br>作為魔族食物鏈的底端，普拉提為魔族的運轉提供了大部分能量來源
如今，這一外形和果凍雷同的種族也誕生了自己的王
它們向魔女揮劍相向并非出于生存本能，而是對普拉提王的忠誠
“保衛陛下！”","<color=#800002>Boss</color><br>At the bottom of the demon food chain, Platies provide most of the energy that keeps demonkind running.
Now, this jelly-like race has given birth to a king of its own.
They draw their swords against the witch not from survival instinct, but from loyalty to the Platy King.
""Protect His Majesty!""","<color=#800002>ボス</color><br>魔族の食物連鎖の底辺として、プラティは魔族の営みに必要なエネルギーの大半を供給している。
今や、ゼリーに似た姿のこの種族にも、自らの王が生まれた。
彼らが魔女へ剣を向けるのは生存本能からではなく、プラティの王への忠誠ゆえである。
「陛下をお守りしろ！」",,,,
15,普通,圣械协从,圣械協從,Sanctum Automaton,鉄の箱,<color=yellow>普通</color><br>圣械司的杰作，搬运，检修，屠宰……自动化的人工智能统统不在话下,<color=yellow>普通</color><br>圣械司的杰作，搬運，檢修，屠宰……自動化的人工智能統統不在話下,"<color=yellow>Common</color><br>A masterpiece of the Sanctum Automaton Bureau. Transport, maintenance, butchery... automated artificial intelligence handles it all with ease.",<color=yellow>ノーマル</color><br>聖械司の傑作。運搬、点検、屠畜……自動化された人工知能にかかれば、どれもお手のものだ。,,,,
16,精英,惊喜礼物盒,驚喜禮物盒,Surprise Gift Box,荒野,"<color=red>精英</color><br>“来抽一个吧！金币大奖！神奇祝福！上古遗物！我这里什么都有哦！”
“哎呀~怎么会是骷髅头呢~一定只是手气不好~下把一定可以的！”","<color=red>精英</color><br>“來抽一個吧！金幣大獎！神奇祝福！上古遺物！我這里什么都有哦！”
“哎呀~怎么會是骷髏頭呢~一定只是手氣不好~下把一定可以的！”","<color=red>Elite</color><br>""Come draw one! Gold jackpot! Wondrous blessings! Ancient relics! I have everything here!""
""Oh my~ how did you get a skull~? Must just be bad luck~ You'll surely win next time!""","<color=red>エリート</color><br>「さあ一つ引いていって！金貨の大当たり！不思議な祝福！古代の遺物！ここには何でもあるよ！」
「あらら～どうして髑髏が出ちゃったのかな～きっと運が悪かっただけだよ～次は絶対当たるって！」",,,,
17,普通,腐化主教,腐化主教,Corrupted Bishop,腐敗した司教,<color=yellow>普通</color><br>深渊的提线木偶，其原料为跌落深渊的教廷主教……,<color=yellow>普通</color><br>深淵的提線木偶，其原料為跌落深淵的教廷主教……,"<color=yellow>Common</color><br>An Abyssal marionette, made from a church bishop who fell into the Abyss...",<color=yellow>ノーマル</color><br>深淵の操り人形。その素材は、深淵へ落ちた教廷の主教……,,,,
18,普通,莉莉,莉莉,Lily,暗闇の洞窟,<color=yellow>普通</color><br>莉莉把她的布玩偶举在你的眼前，时空在此刻停滞……,<color=yellow>普通</color><br>莉莉把她的布玩偶舉在你的眼前，時空在此刻停滯……,"<color=yellow>Common</color><br>Lily raises her cloth doll before your eyes, and time and space freeze in that instant...",<color=yellow>ノーマル</color><br>リリィが布の人形をあなたの目の前に掲げる。その瞬間、時空は停滞する……,,,,
19,精英,木偶剧,木偶劇,Puppet Show,狩猟二人組,<color=red>精英</color><br>,<color=red>精英</color><br>,<color=red>Elite</color><br>,<color=red>エリート</color><br>,,,,
20,普通,方片舞者,方片舞者,Diamond Dancer,踊り子,<color=yellow>普通</color><br>花色小队的支援担当，这支舞曲只为年轻的骑士奏响,<color=yellow>普通</color><br>花色小隊的支援擔當，這支舞曲只為年輕的騎士奏響,<color=yellow>Common</color><br>The support member of the suit squad. This dance tune plays only for the young knight.,<color=yellow>ノーマル</color><br>スート小隊の支援担当。この舞曲は若き騎士のためだけに奏でられる。,,,,
21,普通,混血狼裔,混血狼裔,Half-Blood Wolfkin,擬態者,"<color=yellow>普通</color><br>狼人幸存的血脉之一，据说起先祖拥有能突破音速的身体和交换灵魂的权能
到了这一代只剩下毛茸茸的大尾巴作为种族特征了……","<color=yellow>普通</color><br>狼人幸存的血脈之一，據說起先祖擁有能突破音速的身體和交換靈魂的權能
到了這一代只剩下毛茸茸的大尾巴作為種族特征了……","<color=yellow>Common</color><br>One of the surviving bloodlines of the werewolves. It is said their ancestors possessed bodies capable of breaking the sound barrier and the authority to exchange souls.
By this generation, only a fluffy great tail remains as the mark of their race...","<color=yellow>ノーマル</color><br>生き残った狼族の血脈の一つ。祖先は音速を突破する肉体と、魂を交換する権能を持っていたという。
この世代に残った種族的特徴は、もふもふの大きな尻尾だけになってしまった……",,,,
22,首领,罪业集群,罪業集群,Sin Cluster,異体同心,"<color=#800001>Boss</color><br>暴怒，恐惧，怠惰，丝丝缕缕的恶念汇聚成有型的怪物
个体力量或许微不足道，但影魔们从不以单打独斗见长","<color=#800001>Boss</color><br>暴怒，恐懼，怠惰，絲絲縷縷的惡念匯聚成有型的怪物
個體力量或許微不足道，但影魔們從不以單打獨斗見長","<color=#800001>Boss</color><br>Wrath, fear, sloth: strands of malice gather into monsters with form.
Each individual may be insignificant, but Shadows have never excelled at fighting alone.","<color=#800001>ボス</color><br>暴怒、恐怖、怠惰。細く絡まる悪念が、形ある怪物へと集まった。
個体の力は取るに足らないかもしれないが、影魔たちは決して一対一を得意とはしない。",,,,
23,精英,梅花侍从,梅花侍從,Page of Clubs,聖人,<color=red>精英</color><br>花色小队的中年副队，侍者的服务业精神为红桃的公主而留,<color=red>精英</color><br>花色小隊的中年副隊，侍者的服務業精神為紅桃的公主而留,<color=red>Elite</color><br>The middle-aged deputy of the suit squad. The attendant's service-industry spirit is reserved for the princess of hearts.,<color=red>エリート</color><br>スート小隊の中年副隊長。侍者としてのサービス精神は、ハートの姫君のために捧げられている。,,,,
24,首领,失心魔女,失心魔女,Mindless Witch,鏡中の人,"<color=#800001>Boss</color><br>褪去色彩徒留躯壳的魔女残骸
失去了作为毁灭者内核的她，如今只是一名魔力过剩的平凡少女
没有力量的人，也有自己希望守护的事物","<color=#800001>Boss</color><br>褪去色彩徒留軀殼的魔女殘骸
失去了作為毀滅者內核的她，如今只是一名魔力過剩的平凡少女
沒有力量的人，也有自己希望守護的事物","<color=#800001>Boss</color><br>The remains of a witch, stripped of color and left with only a shell.
Having lost the core that made her a Destroyer, she is now merely an ordinary girl with excessive magic.
Even those without power have things they wish to protect.","<color=#800001>ボス</color><br>色彩を失い、抜け殻だけを残した魔女の残骸。
滅世者としての核を失った彼女は、今では魔力が過剰なだけの平凡な少女にすぎない。
力なき者にも、守りたいものはある。",,,,
25,建筑,天界赐福,天界賜福,Celestial Blessing,運命の樹,<color=green>安全</color><br>迷途的天使为魔女降下的赐福，这些来自异界的加护无需宿主的躯壳作为载体，她们通过神权回廊的直接链接魔女的灵魂，作为交换仅收取一些微不足道的尘俗物质,<color=green>安全</color><br>迷途的天使為魔女降下的賜福，這些來自異界的加護無需宿主的軀殼作為載體，她們通過神權迴廊的直接鏈接魔女的靈魂，作為交換僅收取一些微不足道的塵俗物質,"<color=green>Safe</color><br>Blessings bestowed upon the witch by lost angels. These protections from another realm do not require a host body as a vessel; they link directly to the witch's soul through divine corridors, taking only a little worldly matter in exchange.",<color=green>安全</color><br>迷える天使たちが魔女へ降した祝福。異界から来たこれらの加護は宿主の肉体を器とせず、神権回廊を通じて魔女の魂へ直接接続する。その代価として、ほんのわずかな俗世の物質だけを徴収する。,"命运,在此显现","命運,在此顯現",Fate Manifests Here,運命、ここに現る
*26,精英,腐化圣骑,腐化圣騎,Corrupted Paladin,腐化した聖騎士,<color=red>精英</color><br>深渊的提线木偶，其原料为跌落深渊的教廷圣骑……,<color=red>精英</color><br>深淵的提線木偶，其原料為跌落深淵的教廷圣騎……,"<color=red>Elite</color><br>An Abyssal marionette, made from a church paladin who fell into the Abyss...",<color=red>エリート</color><br>深淵の操り人形。その素材は、深淵へ落ちた教廷の聖騎士……,,,,
27,首领,守夜人,守夜人,Night Watcher,昇華体,"<color=#800000>Boss</color><br>守夜人是奥尔德林居民的警戒哨，在夜幕降临之际，她们将代替沉入梦乡的众生，成为众人的眼睛
据说在古老的过去，警戒的范围仅限于偷盗，入室抢劫等社区治安，如今这一职业已经特别指向魔女这一威胁","<color=#800000>Boss</color><br>守夜人是奧爾德林居民的警戒哨，在夜幕降臨之際，她們將代替沉入夢鄉的眾生，成為眾人的眼睛
據說在古老的過去，警戒的范圍僅限于偷盜，入室搶劫等社區治安，如今這一職業已經特別指向魔女這一威脅","<color=#800000>Boss</color><br>Night Watchers are the sentries of Aldrin's residents. When night falls, they replace all who have sunk into dreams and become everyone's eyes.
It is said that in the ancient past, their watch was limited to community safety such as theft and burglary. Today, this profession points specifically toward the threat known as witches.","<color=#800000>ボス</color><br>守夜人はオルドリン住民の警戒哨である。夜の帳が降りると、夢へ沈んだ衆生に代わり、皆の目となる。
古い時代には、その警戒範囲は窃盗や住居侵入といった地域治安に限られていたという。だが今、この職業は魔女という脅威を明確に指し示すものとなった。",,,,
28,建筑,一息安隅,一息安隅,Moment of Peace,微光の場所,<color=green>安全</color><br>魔女的工作暂且告一段落，现在是被窝和干饭的时间，尽情享受你应得的片刻安宁吧~,<color=green>安全</color><br>魔女的工作暫且告一段落，現在是被窩和干飯的時間，盡情享受你應得的片刻安寧吧~,<color=green>Safe</color><br>The witch's work is done for now. It is time for blankets and a proper meal. Enjoy the moment of peace you deserve~,<color=green>安全</color><br>魔女の仕事はいったん一区切り。今は布団とご飯の時間だ。あなたにふさわしい束の間の安らぎを、思う存分楽しもう～,休息点,休息點,Rest Stop,休憩所
*0,首领,永夜化身,永夜化身,Avatar of Eternal Night,終焉の刻,<color=red>噩梦 它在等你。</color><br>世界末日的最终战场，所有命运的线索都汇聚于此，等待着最后审判时刻的到来，你准备好面对终极的考验了吗？,<color=red>噩夢 它在等你。</color><br>世界末日的最終戰場，所有命運的線索都匯聚于此，等待著最后審判時刻的到來，你準備好面對終極的考驗了嗎？,"<color=red>Nightmare. It awaits you.</color><br>The final battlefield of the world's doomsday. All threads of fate converge here, awaiting the hour of final judgment. Are you ready to face the ultimate trial?",<color=red>悪夢 それはあなたを待っている。</color><br>世界終末の最終戦場。すべての運命の糸がここに集まり、最後の審判の時を待っている。究極の試練に立ち向かう準備はできているか？,,,,
31,首领,魔将·帕梅拉,魔將·帕梅拉,Lord of Paradise,知恵の試練,"<color=red>精英</color><br>魔女？勇者？魔王？那种事情怎么样都好啦！就算毁灭就在明天也丝毫不妨碍帕梅拉在午夜零点之前找点乐子
理所当然的，想见识一下魔女的权能也是她的乐子之一","<color=red>精英</color><br>魔女？勇者？魔王？那種事情怎么樣都好啦！就算毀滅就在明天也絲毫不妨礙帕梅拉在午夜零點之前找點樂子
理所當然的，想見識一下魔女的權能也是她的樂子之一","<color=red>Elite</color><br>Witch? Hero? Demon King? Who cares about any of that! Even if destruction comes tomorrow, it will not stop Pamela from finding some fun before midnight.
Naturally, seeing the witch's authority for herself is one of her amusements.","<color=red>エリート</color><br>魔女？勇者？魔王？そんなことはどうでもいいよ！たとえ明日が滅びの日でも、真夜中の零時までにパメラが楽しみを見つける邪魔にはならない。
当然、魔女の権能を見物することも彼女の楽しみの一つだ。",,,,
32,首领,熔火圣骸,熔火圣骸,Molten Sacred Remains,火の鳳凰,"<color=#800001>Boss</color><br>圣械和影魔结合的产物
影魔内生的骨架被以教廷的技术反向成为保护影魔肉身的骨盔
这并效率上的优化，仅因不如此就无法抑制影魔回归黑暗的本能","<color=#800001>Boss</color><br>圣械和影魔結合的產物
影魔內生的骨架被以教廷的技術反向成為保護影魔肉身的骨盔
這并效率上的優化，僅因不如此就無法抑制影魔回歸黑暗的本能","<color=#800001>Boss</color><br>A product of combining sacred machinery with Shadows.
The Shadow's internal skeleton was reversed through church technology into a bone helm that protects its flesh.
This is not an efficiency optimization; it is done only because otherwise the Shadow's instinct to return to darkness cannot be suppressed.","<color=#800001>ボス</color><br>聖械と影魔が結合した産物。
影魔の内生骨格は教廷の技術によって反転され、影魔の肉体を守る骨兜となった。
これは効率の最適化ではない。そうしなければ、影魔が闇へ帰ろうとする本能を抑えられないだけなのだ。",,,,
33,精英,自动机关人偶,自動機關人偶,Automaton Doll,空賊,<color=red>精英</color><br>人形的圣械机关，在基础功能上额外集成了魔法回路,<color=red>精英</color><br>人形的圣械機關，在基礎功能上額外集成了魔法回路,"<color=red>Elite</color><br>A humanoid sacred automaton, with magical circuits additionally integrated into its basic functions.",<color=red>エリート</color><br>人型の聖械機関。基本機能に加えて、魔法回路が組み込まれている。,,,,
34,精英,K,K,K,罪人,"<color=red>精英</color><br>“你说我看起来很像一只影魔？啊~那是很久远的过去了。”
“不是被除籍，只是有一天我突然觉得一个人也不错~”
“这个话题没什么意思，不如猜猜下一张牌会是什么？”","<color=red>精英</color><br>“你說我看起來很像一只影魔？啊~那是很久遠的過去了。”
“不是被除籍，只是有一天我突然覺得一個人也不錯~”
“這個話題沒什么意思，不如猜猜下一張牌會是什么？”","<color=red>Elite</color><br>""You say I look a lot like a Shadow? Ah~ that was a very long time ago.""
""I wasn't expelled. One day, I just suddenly thought being alone sounded nice~""
""This topic is boring. Why not guess what the next card will be?""","<color=red>エリート</color><br>「私が影魔に似ているって？ああ～それはずいぶん昔の話だよ。」
「除籍されたわけじゃない。ただある日、ひとりでも悪くないなって急に思っただけ～」
「この話題、面白くないね。次のカードが何か当ててみない？」",,,,
35,精英,鬼牌:小王,鬼牌:小王,Joker: Black,双子,"<color=red>精英</color><br>“遵从帕梅拉大人的意志而来！”
“我们是，剧团的，二号人物！”
“如果帕梅拉大人突然暴毙的话就是我们做老大了呢~”
“再怎么样这话也不是现在该说的吧……”","<color=red>精英</color><br>“遵從帕梅拉大人的意志而來！”
“我們是，劇團的，二號人物！”
“如果帕梅拉大人突然暴斃的話就是我們做老大了呢~”
“再怎么樣這話也不是現在該說的吧……”","<color=red>Elite</color><br>""We come in accordance with Lady Pamela's will!""
""We are the troupe's number two!""
""If Lady Pamela suddenly drops dead, we'll be the bosses then~""
""No matter how you put it, now is not the time to say that...""","<color=red>エリート</color><br>「パメラ様の意志に従い参上！」
「私たちは、劇団の、ナンバー二！」
「もしパメラ様が突然ぽっくり逝ったら、私たちがボスだね～」
「どう考えても今言うことじゃないでしょ……」",,,,
*36,普通,灾厄祭司,災厄祭司,Calamity Priest,楽師,"<color=yellow>普通</color><br>厄运的祭祀者，唤醒奥尔德林的烽火台已点燃
深渊的造物破茧而出","<color=yellow>普通</color><br>厄運的祭祀者，喚醒奧爾德林的烽火臺已點燃
深淵的造物破繭而出","<color=yellow>Common</color><br>Worshipers of misfortune. The beacon that awakens Aldrin has been lit.
An Abyssal creation breaks free from its cocoon.","<color=yellow>ノーマル</color><br>厄運を祀る者。オルドリンを呼び覚ます烽火台には、すでに火が灯った。
深淵の造物が繭を破って現れる。",,,,
37,普通,黑桃骑士,黑桃騎士,Spade Knight,暗殺,<color=yellow>普通</color><br>花色小队的现任队长，骑士的后背只交给信赖的侍者,<color=yellow>普通</color><br>花色小隊的現任隊長，騎士的后背只交給信賴的侍者,<color=yellow>Common</color><br>The current captain of the suit squad. The knight entrusts her back only to the attendant she trusts.,<color=yellow>ノーマル</color><br>スート小隊の現隊長。騎士の背中は、信頼する侍者にだけ預けられる。,,,,
38,普通,魔女教教徒,魔女教教徒,Witch Cultist,百知,"<color=yellow>普通</color><br>魔女教世代侍奉魔女，将魔女视为解决一切问题的终极方案
这个教义一直持续到魔女真的降临到了奥尔德林为止……","<color=yellow>普通</color><br>魔女教世代侍奉魔女，將魔女視為解決一切問題的終極方案
這個教義一直持續到魔女真的降臨到了奧爾德林為止……","<color=yellow>Common</color><br>The Witch Cult has served witches for generations, treating witches as the ultimate solution to every problem.
That doctrine lasted until a witch truly descended upon Aldrin...","<color=yellow>ノーマル</color><br>魔女教は代々魔女に仕え、魔女をあらゆる問題を解決する究極の手段と見なしてきた。
その教義は、魔女が本当にオルドリンへ降り立つまで続いた……",,,,
39,普通,天眷者,天眷者,Heaven's Favorite,天眷,"<color=yellow>普通</color><br>信徒试图让神迹在人类身上再现的产物
拥有了一半天使权能的使徒，既未能获得天使不可接触的神力，也没有继承人类可解构魔法的智力","<color=yellow>普通</color><br>信徒試圖讓神跡在人類身上再現的產物
擁有了一半天使權能的使徒，既未能獲得天使不可接觸的神力，也沒有繼承人類可解構魔法的智力","<color=yellow>Common</color><br>The product of believers attempting to reproduce a miracle upon a human body.
An apostle with half an angel's authority, who gained neither the untouchable divine power of angels nor the human intellect capable of deconstructing magic.","<color=yellow>ノーマル</color><br>信徒たちが神跡を人間の身に再現しようとした産物。
天使の権能を半分だけ得た使徒だが、天使の不可触の神力も、人間が魔法を解体する知性も受け継げなかった。",,,,
40,普通,吞金兽,吞金獸,Gold Eater,金を呑む獣,"<color=yellow>普通</color><br>每一枚金币上都内嵌了奥尔德林的祝福与诅咒，这些闪闪发光的小金属片是奥尔德林流动的血液，血液只有在流动时才能发挥起价值
将金子镶嵌在自己身上搬来搬去的小家伙或许是想贯彻深渊的律法？","<color=yellow>普通</color><br>每一枚金幣上都內嵌了奧爾德林的祝福與詛咒，這些閃閃發光的小金屬片是奧爾德林流動的血液，血液只有在流動時才能發揮起價值
將金子鑲嵌在自己身上搬來搬去的小家伙或許是想貫徹深淵的律法？","<color=yellow>Common</color><br>Every gold coin is embedded with Aldrin's blessings and curses. These glittering little metal pieces are Aldrin's flowing blood, and blood only has value while it flows.
Perhaps this little creature, carrying gold inlaid into its body, is trying to uphold the laws of the Abyss?","<color=yellow>ノーマル</color><br>一枚一枚の金貨には、オルドリンの祝福と呪いが埋め込まれている。このきらめく小さな金属片はオルドリンを流れる血であり、血は流れてこそ価値を発揮する。
金を自分の体に嵌め込んで運び回るこの小さなものは、深淵の律法を貫こうとしているのだろうか？",,,,
41,普通,活性晶簇,活性晶簇,Crystal Cluster,活性晶簇,<color=yellow>普通</color><br>与吞金兽结构类似的小怪物，区别在于他喜爱收集搬运的事务从金币变为了富含魔力的晶矿,<color=yellow>普通</color><br>與吞金獸結構類似的小怪物，區別在於它喜愛收集搬運的事物從金幣變為了富含魔力的晶礦,<color=yellow>Common</color><br>A small monster similar in structure to the Gold Eater. The difference is that the thing it loves to collect and transport has changed from gold coins to magic-rich crystal ore.,<color=yellow>ノーマル</color><br>吞金獣と似た構造を持つ小さな怪物。違いは、集めて運ぶことを好むものが金貨から魔力を豊富に含む晶鉱へ変わったことだ。,,,,
42,精英,藏宝处,藏寶處,Treasure Trove,鴻運,<color=red>精英</color><br>幸运女神的加倍眷顾，让你在这次冒险中获得双倍的收获与机遇，这是多么难得的幸福时光。,<color=red>精英</color><br>幸運女神的加倍眷顧，讓你在這次冒險中獲得雙倍的收獲與機遇，這是多么難得的幸福時光。,"<color=red>Elite</color><br>The goddess of luck favors you twice over, granting this adventure double the gains and opportunities. What a rare moment of happiness.",<color=red>エリート</color><br>幸運の女神の二重の加護により、この冒険で得られる収穫と機会は二倍になる。なんと得難い幸福な時間だろう。,,,,
